Table:CsvModel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tid,name:s,res:s,texReplace:s,selRadius:f,selHeight:f,selYOffset:f,halfWidth:f,originalHeight:f,attackDis1:f,attackDis2:f,attackDis3:f,scaleDelta:f,attackProcessType1:AttackProcessType,attackProcessType2:AttackProcessType,attackProcessType3:AttackProcessType,attackNode1:s,attackNode2:s,attackNode3:s,hurtNode1:s,otherNode1:s,otherNode2:s,otherNode3:s,deadSound:s,facePositionStr:s,faceRotationStr:s,l_conversationPositionStr:s,l_conversationRotationStr:s,r_conversationPositionStr:s,r_conversationRotationStr:s,delayDownload,replaceTid
85,沃尔丹,woerdan_01,,0.75,3.5,,0.5,1.95,1,1,1,0.5,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.13,-1.45,2.32","0,161.04,0","0.1,-1.3,3.42","0,155,0","-0.1,-1.3,3.42","0,198,0",22,4
86,阿扎达斯,azhadasi_01,,0.75,3.5,,0.5,2.1,1,1,1,,普通近战,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.13,-2.54,2.88","0,161.04,0","0.37,-2.14,4.62","0,156,0","0.37,-2.14,4.62","0,207,0",46,4
87,克总,keersujiade_01,,0.75,3.5,,0.5,2.55,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.13,-1.9,1.54","0,165.7,0","0.1,-1.36,3.24","0,159,0","0.1,-1.36,3.24","0,200,0",0,4
88,娜迦女士,wasiqinvshi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.01,-1.38,1.03","0,161.04,0","0.1,-1.1,2.28","0,167,0","0.1,-1.1,2.28","0,195,0",0,4
89,红色蝎子,xiezi_01,,0.75,3.5,,0.5,1.5,1,1,1,0.5,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0.01,-0.6,1","0,163.87,0","-0.01,-0.7,2.16","0,152,0","-0.01,-0.58,2.16","16.24,214.99,4.44",46,4
90,雷克萨,leikesa_01,leikesa_01,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,Bip01 R Finger11,gongji01,,,,,"0.04,-1.9,1.6","0,163.87,0","-0.01,-1.45,3.08","0,164,0","-0.01,-1.45,3.08","0,205,0",0,4
91,女妖,nvyao_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01,Bip01,Bip01,Bip01,,,,,"0.01,-1.45,1.05","0,172.24,0","-0.01,-1.08,2.16","0,160,0","-0.01,-1.08,2.16","0,204,0",11,4
92,安度因乌瑞恩,anduyinwuruien_01,anduyinwuruien_01,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji02,gongji02,gongji02,Bip01,Bip01,gongji01,gongji02,,"0.01,-1.96,1.33","0,163.87,0","-0.01,-1.34,3","4.1,148.54,-1.81","-0.01,-1.34,3","3.1,197,1.06",0,4
93,地狱咆哮,geluomudiyupaoxiao_01,,0.75,3.5,,0.5,2.05,1,1,1,,普通近战,普通近战2,普通近战3,Bip01,Bip01,Bip01,Bip01,,,,,"0.01,-1.45,1.41","0,158.71,0","0.2,-1.1,2.51","0,160,0","0.2,-1.1,2.51","0,203,0",0,4
94,加瑞克帕德弗特,jiaruikepadefute_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,Bip01,Bip01,Bip01,Bip01,,,gongji03,,"0.01,-1.45,1.29","0,163.87,0","0,-1.1,2.46","0,160,0","0,-1.1,2.46","0,197,0",0,4
95,逐日者,kaiersasi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01,Bip01,Bip01,Bip01,,,,,"0.01,-1.52,1.18","0,170.79,0","0,-1.1,2.52","0,165,0","0,-1.1,2.52","0,192,0",0,4
96,水占师,shuizanshiweileisa_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01,Bip01,Bip01,Bip01,,,,,"0.01,-1.55,1","0,167.58,0","0,-1,2.1","0,167,0","0,-1,2.1","0,196,0",0,4
97,红色风蛇,fengshe_01,,0.75,3.5,,0.5,2,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.41,-2.03,1.61","0,153.17,0","-0.01,-1.84,3.41","0,161,0","-0.01,-2.15,3.41","0,207,0",22,4
98,半人马,banrenma_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,Bip01,Bip01,Bip01,Bip01,,,,,"-0.21,-1.6,1.59","0,163.87,0","-0.12,-1.15,2.9","0,150.44,0","0.2,-1.15,2.9","0,215.35,0",22,4
99,蝙蝠,bianfu_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,Bip01,Bip01,Bip01,Bip01,,,,,"-0.06,-1.64,1.31","0,163.87,0","-0.01,-1.7,2.16","0,156.9,0","-0.01,-1.7,2.16","0,207.43,0",34,4
100,黑色雏龙,chulong_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01,Bip01,Bip01,Bip01,,,,,"0.01,-1.27,1","0,163.87,0","0.06,-1.3,1.8","0,154,0","0.06,-1.3,1.8","0,218,0",25,4
101,红色多彩龙,duocailong_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji02,gongji02,gongji02,Bip01,,,,,"-0.11,-2.56,2","344.7098,149.4,0","0.3,-2.17,2.4","333.15,149.04,4.78","-0.5,-2.17,2.4","333.15,205.06,4.77",100,4
102,工匠大师,gongjiangdashi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01 Prop1,Bip01 Prop1,Bip01 Prop1,Bip01,,,,,"0.07,-1.38,1.48","0,163.87,0","-0.01,-1.2,2.7","0,154.78,0","-0.01,-1.05,2.7","0,193,0",0,4
103,古尔丹,guerdan_01,guerdan_01,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01 Prop1,Bip01 Prop1,Bip01 Prop1,Bip01,,,,,"0.09,-1.62,1.42","0,163.87,0","-0.01,-1.35,3","0,154,0","-0.01,-1.35,3","0,197,0",0,4
104,黑暗院长,heianyuanzhangjiading_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0.01,-1.4,1.19","0,151.75,0","0.03,-1.1,2.37","0,155,0","0.03,-1.1,2.37","0,208,0",0,4
105,加兹瑞拉,jiaziruila_01,,0.75,3.5,,0.5,2.5,1,1,1,0.5,普通近战,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0.01,-2.37,3.17","0,155.41,0","-0.01,-2.08,4.99","0,153,0","-0.01,-2.08,4.99","0,218,0",17,4
106,暮光首领,koujiaer_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01 R Finger1,Bip01 R Finger1,Bip01 R Finger1,Bip01,,,,,"0,-1.48,1.8","0,158.46,0","-0.01,-1.2,2.69","0,157,0","-0.01,-1.2,2.69","0,157,0",0,4
107,守望者,maweiyingge_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.01,-1.26,1.05","0,163.87,0","0.05,-1,2.16","0,160,0","0.05,-0.88,2.16","0,198,0",0,4
108,女性僵尸,nvxingjiangshi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,Bip01,Bip01,Bip01,Bip01,,,,,"0.01,-1.34,1.63","0,163.87,0","-0.01,-1.1,2.5","0,159,0","-0.01,-1,2.16","0,211,0",12,4
109,红沙怒刽子手,shanuguizishou_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,Bip01,Bip01,Bip01,Bip01,,,,,"-0.05,-1.16,1","0,163.87,0","-0.1,-1,2.16","0,148,0","0,-0.9,2.16","0,209,0",52,4
110,秃鹫,tujiu_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,Bip01,Bip01,Bip01,Bip01,,,,,"-0.1,-1.44,1.11","0,145.26,0","-0.01,-1.73,2.16","0,132,0","-0.01,-1.73,2.16","0,216,0",0,4
111,黑色土元素,tuyuansu_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,Bip01,Bip01,Bip01,Bip01,,,,,"0.01,-1.1,2.71","0,170.84,0","-0.01,-1.18,2.94","0,146,0","-0.01,-1.18,2.94","0,146,0",70,4
112,熊神,wusuoke_01,,0.75,3.5,,0.5,1.95,1,1,1,0.4,普通近战,普通近战2,普通近战3,Bip01,Bip01,Bip01,Bip01,,,,,"-0.24,-0.5,1.9","0,152.89,0","-0.13,-0.63,2.16","0,149,0","0.29,-0.63,2.16","0,211,0",100,4
113,乌鸦,wuya_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01,Bip01,Bip01,Bip01,,,,,"-0.21,-0.46,0.59","0,127.85,0","-0.01,-0.56,1.55","0,135,0","-0.01,-0.56,1.55","0,224,0",40,4
114,黄色野猪,yezhu_01,,0.75,3.5,,0.5,1.5,1,1,1,,普通近战,普通近战2,普通近战3,Bip01,Bip01,Bip01,Bip01,,,,,"-0.31,-0.7,1.65","0,154.1,0","-0.35,-0.91,2.27","0,135,0","0.1,-0.91,2.27","0,219,0",0,4
115,棕熊,zongxiong_01,,0.75,3.5,,0.5,1.2,1,1,1,0.4,普通近战,普通近战2,普通近战3,Bip01,Bip01,Bip01,Bip01,,,,,"-0.25,-0.52,1.87","0,156.13,0","-0.2,-0.7,2.39","0,140,0","0.25,-0.7,2.39","0,216,0",0,4
116,黑暗游侠,xierwanasi_01,,0.75,3.5,,0.5,1.85,1,1,1,,普通远程,普通远程2,普通远程3,Bip01 Prop1,Bip01 Prop1,Bip01 Prop1,Bip01,,,,,"0.01,-1.37,1.14","0,156.13,0","-0.01,-1.02,2.2","0,153,0","-0.01,-1.02,2.2","0,207,0",0,4
117,萨尔,saer_01,saer_01,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01 R Hand,Bip01 R Hand,Bip01 R Hand,Bip01,,,,,"-0.01,-2.04,1.39","0,156.13,0","0.09,-1.5,3.32","0,152,0","0.09,-1.5,3.32","0,209,0",0,4
118,阿比迪斯将军,abidisijiangjun_01,abidisijiangjun_01,0.75,3.5,,0.5,1.95,1.6,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-2,1.9","8.52,168.24,354.6","0,-1.45,3.21","0,159,0","0,-1.45,3.21","0,197,0",0,4
119,奥蕾莉亚,aoleiliya_01,aoleiliya_01,0.75,3.5,,0.5,1.95,1.6,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-1.94,1.51","0,167.5,0","0,-1.41,2.89","0,163,0","0,-1.41,2.89","0,163,0",0,4
120,基丹,jierjiadan_01,,0.75,3.5,,0.5,1.95,1.6,1,1,,普通远程,普通远程2,普通近战3,Bip01 R Finger1,Bip01 R Finger1,Bip01 R Finger1,Bip01,,,,,"-0.1,-1.45,1.18","0,160.5,0","0,-1.1,2.3","0,155,0","0,-1,2.3","0,202,0",0,4
121,鲜血女王,xianxuenvwang_01,xianxuenvwang_01,0.75,3.5,,0.5,1.95,1.6,1,1,,普通远程,普通远程2,普通远程3,Bip01 Prop1,Bip01 Prop1,Bip01 Prop1,Bip01,,,,,"-0.04,-2,1.63","0,159.6,0","0,-1.45,3","0,152,0","0,-1.45,3","0,201,0",0,4
122,艾维娜,aiweina_01,aiweina_01,0.75,3.5,,0.5,1.95,1.6,1,1,,普通近战,普通远程2,普通远程3,Bip01 R Finger1,Bip01 R Finger1,Bip01 R Finger1,Bip01,Bip01 L Finger1,,,,"0,-2.2,1.34","0,162.99,0","0,-1.7,2.64","0,149,0","0,-1.7,3.21","0,210,0",0,4
123,白色鱼人,yuren_01,yuren_02,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,Bip01 L Finger1,Bip01 R Finger1,,,"0,-1.18,1.5","0,163.85,0","0.15,-0.97,2.42","0,157,0","0,-0.97,2.42","0,206,0",0,4
124,绿色鱼人,yuren_01,yuren_03,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,Bip01 L Finger1,Bip01 R Finger1,,,"0,-1.18,1.5","0,163.85,0","0.15,-0.97,2.42","0,157,0","0,-0.97,2.42","0,206,0",0,4
125,金色摩拉迪姆 ,moladimu_01,,0.75,3.5,,0.5,1.95,1,1,1,0.2,普通近战,普通远程,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.14,-1.3,1.52","0,160.68,0","0,-1,2.5","0,153,0","0,-1,2.5","0,194,0",12,4
126,熊怪,xiongguai_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.14,-1.3,1.7","0,155.43,0","0,-1.05,2.47","0,164,0","0,-1,2.6","0,203,0",19,4
127,豺狼人02,chailangren_02,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.4,-1.2,1.6","0,143.39,0","0,-1.1,2.51","0,158,0","0.05,-1.05,2.5","0,199,0",0,4
128,娜迦男,najianan_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.03,-1.69,1.1","0,143.39,0","0,-1.22,2.51","0,149,0","0,-1.22,2.51","0,191,0",15,4
129,泰兰德,tailande_01,tailande_01,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,Bip01,,gongji01,,"0.01,-2.1,1.6","5.8,158.25,2.1","0,-1.4,3.04","0,153,0","0,-1.4,3.04","0,198,0",0,4
130,人类法师,renleifashi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.05,-1.6,1","0,160.52,0","0,-1.08,2.26","0,160.32,0","0,-1.08,2.26","0,194,0",12,4
131,图勒鸦爪,tuleyazhua_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.05,-1.5,1.03","0,157.36,0","-0.05,-1.02,2.2","0,157,0","-0.05,-1.02,2.2","0,197,0",0,4
132,红色鹰身人,yingshenren_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0.05,-1.9,1","0,160.19,0","0,-1.4,2","0,145,0","0,-1.4,2","0,218,0",22,4
133,埃瑟里克斯纳拉辛,aiselikesinalaxin_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-1.5,1.2","0,163.68,0","0,-1,2.34","0,153,0","0,-1,2.34","0,193,0",0,4
134,狗头人矿工,goutouren_02,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,Bip01 L Hand,,Bip01 HeadNub,,"-0.1,-1.36,1.36","0,150.48,0","0.13,-1.06,2.35","0,143,0","0.13,-1.06,2.35","0,211,0",0,4
135,奥法师,aofashiduan_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-1.47,1.02","0,155.35,0","0,-1.1,2.3","0,155,0","0,-1.1,2.3","0,196,0",0,4
136,月光虎,xiaolaohu_01,xiaobaihu_02,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.2,-0.81,2.02","0,150.3699,0","-0.17,-0.95,2.68","0,143,0","0.14,-0.95,2.68","0,213,0",19,4
137,巴纳扎尔,kongjumowang_01,kongjumowang_02,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01 R Finger1,Bip01 R Finger1,Bip01 R Finger1,Bip01,,,,,"0.01,-1.52,1.1","0,164.2,0","0,-1.25,2.59","0,154,0","0,-1.15,2.59","0,199,0",0,4
138,暮光之锤男,muguangzhichuinan_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01,Bip01,Bip01,Bip01,,,,,"-0.05,-1.52,1","0,162.88,0","0,-1,2.12","0,159,0","0,-1,2.12","0,207,0",12,4
139,黄色雄狮,shizi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.25,-0.74,2.29","0,158.53,0","-0.5,-0.8,2.86","0,147,0","0.29,-0.8,2.86","0,212,0",22,4
140,黑色雄狮,shizi_01,shizi_02,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.25,-0.74,2.29","0,158.53,0","-0.2,-0.6,1.7","0,145,0","0.29,-0.8,2.86","0,212,0",22,4
141,白狼,lang_01,lang_02,0.75,3.5,,0.5,0.9,1.6,1.6,1.6,0.5,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.35,-0.67,1.34","0,143.78,0","-0.2,-0.6,1.7","0,136,0","0.25,-0.55,1.7","0,219,0",0,4
142,黑色野猪,yezhu_01,yezhu_02,0.75,3.5,,0.5,1.5,1,1,1,,普通近战,普通近战2,普通近战3,Bip01,Bip01,Bip01,Bip01,,,,,"-0.31,-0.7,1.65","0,154.1,0","-0.2,-0.8,2.01","0,144,0","0.2,-0.8,2.01","0,206,0",0,4
143,暴怒的阿迦赛罗斯,yezhu_01,yezhu_03,0.75,3.5,,0.5,1.5,1,1,1,0.5,普通近战,普通近战2,普通近战3,Bip01,Bip01,Bip01,Bip01,,,,,"-0.31,-0.7,1.65","0,154.1,0","-0.2,-0.8,2.01","0,144,0","0.2,-0.8,2.01","0,206,0",0,4
144,沼泽爬行者,woerdan_01,woerdan_02,0.75,3.5,,0.5,1.95,1,1,1,0.5,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.13,-1.45,2.32","0,161.04,0","0.06,-1.17,3.2","0,164.29,0","0.06,-1.17,3.2","0,196,0",22,4
145,绿色雏龙,chulong_01,chulong_02,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01,Bip01,Bip01,Bip01,,,,,"0.01,-1.27,1","0,163.87,0","0.06,-1.3,1.8","0,151,0","0.06,-1.3,1.8","0,217,0",64,4
146,辛迪加路霸,xindijialuba_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通远程2,普通远程3,Bip01,Bip01,Bip01,Bip01,,,,,"0.16,-1.39,1.1","353.6,163.5,1.073","0.06,-1.03,2.28","0,155,0","0.06,-1.03,2.28","0,155,0",12,4
147,暮光之锤女,muguangzhichuinv_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01,Bip01,Bip01,Bip01,,,,,"-0.05,-1.35,1","0,155.63,0","0,-1,2.12","0,148,0","0,-1,2.12","0,148,0",22,4
148,红色乌龟,wugui_01,wugui_02,0.75,3.5,,0.5,1.5,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.07,-0.5,1.76","0,161.33,0","-0.044,-0.54,2.03","0,145,0","-0.044,-0.54,2.03","0,145,0",0,4
149,紫色娜迦海妖,najiahaiyao_01,najiahaiyao_02,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01 R Finger1,Bip01 R Finger1,Bip01 R Finger1,Bip01,Bip01 L Finger1,,,,"0.14,-1.55,1.12","0,162.66,0","0.05,-1.35,2.64","0,142,0","0.05,-1.35,2.64","0,142,0",22,4
150,阿库麦尔,jiaziruila_01,jiaziruila_02,0.75,3.5,,0.5,2.5,1,1,1,0.5,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0.01,-2.37,3.17","0,155.41,0","-0.01,-2.08,4.99","0,149,0","-0.01,-2.08,4.99","0,207,0",28,4
151,巫妖,laisishuangyu_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0.05,-1.49,1.16","0,159.01,0","-0.01,-1.15,2.6","0,154.88,0","-0.01,-1.15,2.6","0,200,0",0,4
152,绿色憎恶,zengwu_01,zengwu_02,0.75,3.5,,0.5,1.95,1,1,1,0.7,普通近战,普通近战2,普通近战3,Bip01,Bip01,Bip01,Bip01,,,,,"-0.04,-1.7,0.98","0,143.8,0","0,-1.18,2.95","0,156,0","0,-1.18,2.95","0,192,0",0,4
153,红色鞭笞者,bianchizhe_01,bianchizhe_02,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.08,-1.51,1.8","0,162.3,0","0.09,-1.19,2.92","0,148,0","0.09,-1.19,2.92","0,217,0",0,4
154,粉色风蛇,fengshe_01,fengshe_02,0.75,3.5,,0.5,2,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.41,-2.03,1.61","0,153.17,0","-0.01,-1.84,3.41","0,152,0","-0.01,-1.84,3.41","0,216,0",22,4
155,恐惧魔王,kongjumowang_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01 R Finger1,Bip01 R Finger1,Bip01 R Finger1,Bip01,,,,,"0.01,-1.55,1","0,162.9,0","0,-1.25,2.52","0,151,0","0,-1.1,2.52","0,198,0",0,4
156,被污染的水元素,shuiyuansu_01,shuiyuansu_02,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.1,-1.42,1.38","0,165.64,0","0.05,-1.2,2.24","0,160,0","-0.2,-1.2,2.24","0,191,0",21,4
157,紫色迅猛龙,xunmenglong_01,xunmenglong_02,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.49,-1.5,1.63","0,129.27,0","-0.1,-1.1,2.5","0,140,0","0.2,-1,2.5","0,227,0",22,4
158,天灾战士,moladimu_01,moladimu_02,0.75,3.5,,0.5,1.95,1,1,1,0.2,普通近战,普通远程,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.14,-1.3,1.52","0,160.68,0","0,-1,2.5","0,149,0","0,-1,2.5","0,196,0",12,4
159,黑色成年龙,duocailong_01,duocailong_02,0.75,3.5,,0.5,2.5,1,1,1,,普通远程,普通远程2,普通远程3,Bip01 Ponytail1Nub,Bip01 Ponytail1Nub,Bip01 Ponytail1Nub,Bip01,,,,,"-0.11,-2.56,2","344.7098,149.4,0","0,-2.4,3","350.1,159.99,-9.75","0,-2.4,3","350.1,159.99,-9.75",46,4
160,绿色成年龙,duocailong_01,duocailong_03,0.75,3.5,,0.5,2.5,1,1,1,,普通远程,普通远程2,普通远程3,Bip01 Ponytail1Nub,Bip01 Ponytail1Nub,Bip01 Ponytail1Nub,Bip01,,,,,"-0.11,-2.56,2","344.7098,149.4,0","0,-2.4,3","350.1,159.99,-9.75","0,-2.4,3","350.1,159.99,-9.75",64,4
161,土色土元素,tuyuansu_01,tuyuansu_02,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,Bip01,Bip01,Bip01,Bip01,,,,,"0.01,-1.1,2.71","0,170.84,0","-0.01,-1.18,2.94","0,146,0","-0.01,-1.18,2.94","0,146,0",46,4
162,人类女法师,renleinvfashi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.05,-1.6,1","0,160.52,0","0,-1.08,2.26","0,158,0","0,-1.08,2.26","0,158,0",37,4
163,女伯爵,nvbojue_01,nvbojue_01,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,Bip01 L Finger1,Bip01 R Finger1,,,"0,-2.06,1.2","0,160.52,0","0,-1.52,2.95","0,152,0","0,-1.52,2.95","0,196,0",0,4
164,紫阿塔莱祭司,atalaijisi_01,atalaijisi_02,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0.02,-1.4,1.01","0,164.1,0","-0.044,-1,2.2","0,152,0","0,-1,2.2","0,198,0",49,4
165,异种蝎,yizhongxie_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,普通近战2,gongji01,gongji01,Bip01,,,,,"-0.1,-0.4,1.01","0,154.8,0","-0.044,-0.7,2.2","0,152,0","-0.044,-0.7,2.2","0,210,0",52,4
166,斯塔文,sitawen_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.08,-1.63,1.01","0,158.41,0","-0.044,-1,2.2","0,154,0","0.1,-1,2.6","0,197.6,0",0,4
167,红色软泥怪,ruanniguai_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0.02,-1.4,1.01","0,164.1,0","-0.044,-1,2.2","0,152,0","0,-1,2.2","0,198,0",55,4
168,豹子,baozi_01,,0.75,3.5,,0.5,1.5,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.6,-0.8,2.37","0,149.76,0","-0.4,-0.8,2.58","0,147,0","0.7,-0.8,2.58","0,217.97,0",0,4
169,龙喉兽人,longhoushouren_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.1,-1.5,1.31","0,155.33,0","0,-1.1,2.2","0,146,0","0,-1.1,2.5","0,198,0",25,4
170,恶魔,emo_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.1,-2,1.6","0,162.26,0","-0.044,-1.3,3","0,156.45,0","-0.044,-1.35,3.2","0,197,0",0,4
171,异种蜂,yizhongfeng_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.35,-1,1.54","29.8,149.38,-9.83","-0.15,-1,1.7","20.51,146.45,-8.65","0.4,-1,2","28.24,211.51,354.69",52,4
172,格里哈斯特,gelihasite_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-1.1,1.6","359.2,152.7,349.9","-0.044,-0.9,2.2","0,139,0","-0.044,-0.9,2.2","0,196,0",28,4
