Table:CsvEquipAddAttr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tid,AttrNum,attr1:AttrType,value_min1,value_max1,Probability1,color1:ItemColor,attr2:AttrType,value_min2,value_max2,Probability2,color2:ItemColor,attr3:AttrType,value_min3,value_max3,Probability3,color3:ItemColor,attr4:AttrType,value_min4,value_max4,Probability4,color4:ItemColor,attr5:AttrType,value_min5,value_max5,Probability5,color5:ItemColor,attr6:AttrType,value_min6,value_max6,Probability6,color6:ItemColor,attr7:AttrType,value_min7,value_max7,Probability7,color7:ItemColor,attr8:AttrType,value_min8,value_max8,Probability8,color8:ItemColor,attr9:AttrType,value_min9,value_max9,Probability9,color9:ItemColor,attr10:AttrType,value_min10,value_max10,Probability10,color10:ItemColor,attr11:AttrType,value_min11,value_max11,Probability11,color11:ItemColor,attr12:AttrType,value_min12,value_max12,Probability12,color12:ItemColor,attr13:AttrType,value_min13,value_max13,Probability13,color13:ItemColor,attr14:AttrType,value_min14,value_max14,Probability14,color14:ItemColor,attr15:AttrType,value_min15,value_max15,Probability15,color15:ItemColor,attr16:AttrType,value_min16,value_max16,Probability16,color16:ItemColor,attr17:AttrType,value_min17,value_max17,Probability17,color17:ItemColor
1005202,2,命中,50,50,769,蓝,智力,1,2,769,蓝,敏捷,1,2,769,蓝,耐力,1,2,769,蓝,物理防御,12,18,769,蓝,法术攻击,20,30,769,蓝,法术防御,12,18,769,蓝,血量,60,90,769,蓝,速度,10,15,769,蓝,治疗效果,50,50,769,蓝,受治疗效果,50,50,769,蓝,最终伤害增加,20,30,769,蓝,最终伤害减免,20,30,769,蓝,,,,,,,,,,,,,,,,,,,,
1005301,1,韧性,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1005302,2,韧性,50,50,666,蓝,智力,1,2,666,蓝,敏捷,1,2,666,蓝,力量,1,2,666,蓝,耐力,1,2,666,蓝,物理攻击,20,30,666,蓝,物理防御,12,18,666,蓝,法术攻击,20,30,666,蓝,法术防御,12,18,666,蓝,血量,60,90,666,蓝,速度,10,15,666,蓝,治疗效果,50,50,666,蓝,受治疗效果,50,50,666,蓝,最终伤害增加,20,30,666,蓝,最终伤害减免,20,30,666,蓝,,,,,,,,,,
1005401,1,穿透,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1005402,2,穿透,50,50,666,蓝,智力,1,2,666,蓝,敏捷,1,2,666,蓝,力量,1,2,666,蓝,耐力,1,2,666,蓝,物理攻击,20,30,666,蓝,物理防御,12,18,666,蓝,法术攻击,20,30,666,蓝,法术防御,12,18,666,蓝,血量,60,90,666,蓝,速度,10,15,666,蓝,治疗效果,50,50,666,蓝,受治疗效果,50,50,666,蓝,最终伤害增加,20,30,666,蓝,最终伤害减免,20,30,666,蓝,,,,,,,,,,
1005501,1,格挡,100,100,625,蓝,抵抗,100,100,625,蓝,智力,3,3,625,蓝,敏捷,3,3,625,蓝,力量,3,3,625,蓝,耐力,3,3,625,蓝,物理攻击,50,50,625,蓝,物理防御,30,30,625,蓝,法术攻击,50,50,625,蓝,法术防御,30,30,625,蓝,血量,150,150,625,蓝,速度,25,25,625,蓝,治疗效果,100,100,625,蓝,受治疗效果,100,100,625,蓝,最终伤害增加,50,50,625,蓝,最终伤害减免,50,50,625,蓝,,,,,
1005502,2,格挡,50,50,625,蓝,抵抗,50,50,625,蓝,智力,1,2,625,蓝,敏捷,1,2,625,蓝,力量,1,2,625,蓝,耐力,1,2,625,蓝,物理攻击,20,30,625,蓝,物理防御,12,18,625,蓝,法术攻击,20,30,625,蓝,法术防御,12,18,625,蓝,血量,60,90,625,蓝,速度,10,15,625,蓝,治疗效果,50,50,625,蓝,受治疗效果,50,50,625,蓝,最终伤害增加,20,30,625,蓝,最终伤害减免,20,30,625,蓝,,,,,
1005601,1,闪避,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1005602,2,闪避,50,50,666,蓝,智力,1,2,666,蓝,敏捷,1,2,666,蓝,力量,1,2,666,蓝,耐力,1,2,666,蓝,物理攻击,20,30,666,蓝,物理防御,12,18,666,蓝,法术攻击,20,30,666,蓝,法术防御,12,18,666,蓝,血量,60,90,666,蓝,速度,10,15,666,蓝,治疗效果,50,50,666,蓝,受治疗效果,50,50,666,蓝,最终伤害增加,20,30,666,蓝,最终伤害减免,20,30,666,蓝,,,,,,,,,,
1006101,1,暴击,100,100,833,蓝,敏捷,3,3,833,蓝,力量,3,3,833,蓝,耐力,3,3,833,蓝,物理攻击,50,50,833,蓝,物理防御,30,30,833,蓝,法术防御,30,30,833,蓝,血量,150,150,833,蓝,速度,25,25,833,蓝,受治疗效果,100,100,833,蓝,最终伤害增加,50,50,833,蓝,最终伤害减免,50,50,833,蓝,,,,,,,,,,,,,,,,,,,,,,,,,
1006102,2,暴击,50,50,833,蓝,敏捷,1,2,833,蓝,力量,1,2,833,蓝,耐力,1,2,833,蓝,物理攻击,20,30,833,蓝,物理防御,12,18,833,蓝,法术防御,12,18,833,蓝,血量,60,90,833,蓝,速度,10,15,833,蓝,受治疗效果,50,50,833,蓝,最终伤害增加,20,30,833,蓝,最终伤害减免,20,30,833,蓝,,,,,,,,,,,,,,,,,,,,,,,,,
1006201,1,命中,100,100,769,蓝,智力,3,3,769,蓝,敏捷,3,3,769,蓝,耐力,3,3,769,蓝,物理防御,30,30,769,蓝,法术攻击,50,50,769,蓝,法术防御,30,30,769,蓝,血量,150,150,769,蓝,速度,25,25,769,蓝,治疗效果,100,100,769,蓝,受治疗效果,100,100,769,蓝,最终伤害增加,50,50,769,蓝,最终伤害减免,50,50,769,蓝,,,,,,,,,,,,,,,,,,,,
1006202,2,命中,50,50,769,蓝,智力,1,2,769,蓝,敏捷,1,2,769,蓝,耐力,1,2,769,蓝,物理防御,12,18,769,蓝,法术攻击,20,30,769,蓝,法术防御,12,18,769,蓝,血量,60,90,769,蓝,速度,10,15,769,蓝,治疗效果,50,50,769,蓝,受治疗效果,50,50,769,蓝,最终伤害增加,20,30,769,蓝,最终伤害减免,20,30,769,蓝,,,,,,,,,,,,,,,,,,,,
1006301,1,韧性,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1006302,2,韧性,50,50,666,蓝,智力,1,2,666,蓝,敏捷,1,2,666,蓝,力量,1,2,666,蓝,耐力,1,2,666,蓝,物理攻击,20,30,666,蓝,物理防御,12,18,666,蓝,法术攻击,20,30,666,蓝,法术防御,12,18,666,蓝,血量,60,90,666,蓝,速度,10,15,666,蓝,治疗效果,50,50,666,蓝,受治疗效果,50,50,666,蓝,最终伤害增加,20,30,666,蓝,最终伤害减免,20,30,666,蓝,,,,,,,,,,
1006401,1,穿透,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1006402,2,穿透,50,50,666,蓝,智力,1,2,666,蓝,敏捷,1,2,666,蓝,力量,1,2,666,蓝,耐力,1,2,666,蓝,物理攻击,20,30,666,蓝,物理防御,12,18,666,蓝,法术攻击,20,30,666,蓝,法术防御,12,18,666,蓝,血量,60,90,666,蓝,速度,10,15,666,蓝,治疗效果,50,50,666,蓝,受治疗效果,50,50,666,蓝,最终伤害增加,20,30,666,蓝,最终伤害减免,20,30,666,蓝,,,,,,,,,,
1006501,1,格挡,100,100,625,蓝,抵抗,100,100,625,蓝,智力,3,3,625,蓝,敏捷,3,3,625,蓝,力量,3,3,625,蓝,耐力,3,3,625,蓝,物理攻击,50,50,625,蓝,物理防御,30,30,625,蓝,法术攻击,50,50,625,蓝,法术防御,30,30,625,蓝,血量,150,150,625,蓝,速度,25,25,625,蓝,治疗效果,100,100,625,蓝,受治疗效果,100,100,625,蓝,最终伤害增加,50,50,625,蓝,最终伤害减免,50,50,625,蓝,,,,,
1006502,2,格挡,50,50,625,蓝,抵抗,50,50,625,蓝,智力,1,2,625,蓝,敏捷,1,2,625,蓝,力量,1,2,625,蓝,耐力,1,2,625,蓝,物理攻击,20,30,625,蓝,物理防御,12,18,625,蓝,法术攻击,20,30,625,蓝,法术防御,12,18,625,蓝,血量,60,90,625,蓝,速度,10,15,625,蓝,治疗效果,50,50,625,蓝,受治疗效果,50,50,625,蓝,最终伤害增加,20,30,625,蓝,最终伤害减免,20,30,625,蓝,,,,,
1006601,1,闪避,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1006602,2,闪避,50,50,666,蓝,智力,1,2,666,蓝,敏捷,1,2,666,蓝,力量,1,2,666,蓝,耐力,1,2,666,蓝,物理攻击,20,30,666,蓝,物理防御,12,18,666,蓝,法术攻击,20,30,666,蓝,法术防御,12,18,666,蓝,血量,60,90,666,蓝,速度,10,15,666,蓝,治疗效果,50,50,666,蓝,受治疗效果,50,50,666,蓝,最终伤害增加,20,30,666,蓝,最终伤害减免,20,30,666,蓝,,,,,,,,,,
1007101,1,暴击,100,100,833,蓝,敏捷,3,3,833,蓝,力量,3,3,833,蓝,耐力,3,3,833,蓝,物理攻击,50,50,833,蓝,物理防御,30,30,833,蓝,法术防御,30,30,833,蓝,血量,150,150,833,蓝,速度,25,25,833,蓝,受治疗效果,100,100,833,蓝,最终伤害增加,50,50,833,蓝,最终伤害减免,50,50,833,蓝,,,,,,,,,,,,,,,,,,,,,,,,,
1007102,2,暴击,50,50,833,蓝,敏捷,1,2,833,蓝,力量,1,2,833,蓝,耐力,1,2,833,蓝,物理攻击,20,30,833,蓝,物理防御,12,18,833,蓝,法术防御,12,18,833,蓝,血量,60,90,833,蓝,速度,10,15,833,蓝,受治疗效果,50,50,833,蓝,最终伤害增加,20,30,833,蓝,最终伤害减免,20,30,833,蓝,,,,,,,,,,,,,,,,,,,,,,,,,
1007201,1,命中,100,100,769,蓝,智力,3,3,769,蓝,敏捷,3,3,769,蓝,耐力,3,3,769,蓝,物理防御,30,30,769,蓝,法术攻击,50,50,769,蓝,法术防御,30,30,769,蓝,血量,150,150,769,蓝,速度,25,25,769,蓝,治疗效果,100,100,769,蓝,受治疗效果,100,100,769,蓝,最终伤害增加,50,50,769,蓝,最终伤害减免,50,50,769,蓝,,,,,,,,,,,,,,,,,,,,
1007202,2,命中,50,50,769,蓝,智力,1,2,769,蓝,敏捷,1,2,769,蓝,耐力,1,2,769,蓝,物理防御,12,18,769,蓝,法术攻击,20,30,769,蓝,法术防御,12,18,769,蓝,血量,60,90,769,蓝,速度,10,15,769,蓝,治疗效果,50,50,769,蓝,受治疗效果,50,50,769,蓝,最终伤害增加,20,30,769,蓝,最终伤害减免,20,30,769,蓝,,,,,,,,,,,,,,,,,,,,
1007301,1,韧性,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1007302,2,韧性,50,50,666,蓝,智力,1,2,666,蓝,敏捷,1,2,666,蓝,力量,1,2,666,蓝,耐力,1,2,666,蓝,物理攻击,20,30,666,蓝,物理防御,12,18,666,蓝,法术攻击,20,30,666,蓝,法术防御,12,18,666,蓝,血量,60,90,666,蓝,速度,10,15,666,蓝,治疗效果,50,50,666,蓝,受治疗效果,50,50,666,蓝,最终伤害增加,20,30,666,蓝,最终伤害减免,20,30,666,蓝,,,,,,,,,,
1007401,1,穿透,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1007402,2,穿透,50,50,666,蓝,智力,1,2,666,蓝,敏捷,1,2,666,蓝,力量,1,2,666,蓝,耐力,1,2,666,蓝,物理攻击,20,30,666,蓝,物理防御,12,18,666,蓝,法术攻击,20,30,666,蓝,法术防御,12,18,666,蓝,血量,60,90,666,蓝,速度,10,15,666,蓝,治疗效果,50,50,666,蓝,受治疗效果,50,50,666,蓝,最终伤害增加,20,30,666,蓝,最终伤害减免,20,30,666,蓝,,,,,,,,,,
1007501,1,格挡,100,100,625,蓝,抵抗,100,100,625,蓝,智力,3,3,625,蓝,敏捷,3,3,625,蓝,力量,3,3,625,蓝,耐力,3,3,625,蓝,物理攻击,50,50,625,蓝,物理防御,30,30,625,蓝,法术攻击,50,50,625,蓝,法术防御,30,30,625,蓝,血量,150,150,625,蓝,速度,25,25,625,蓝,治疗效果,100,100,625,蓝,受治疗效果,100,100,625,蓝,最终伤害增加,50,50,625,蓝,最终伤害减免,50,50,625,蓝,,,,,
1007502,2,格挡,50,50,625,蓝,抵抗,50,50,625,蓝,智力,1,2,625,蓝,敏捷,1,2,625,蓝,力量,1,2,625,蓝,耐力,1,2,625,蓝,物理攻击,20,30,625,蓝,物理防御,12,18,625,蓝,法术攻击,20,30,625,蓝,法术防御,12,18,625,蓝,血量,60,90,625,蓝,速度,10,15,625,蓝,治疗效果,50,50,625,蓝,受治疗效果,50,50,625,蓝,最终伤害增加,20,30,625,蓝,最终伤害减免,20,30,625,蓝,,,,,
1007601,1,闪避,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1007602,2,闪避,50,50,666,蓝,智力,1,2,666,蓝,敏捷,1,2,666,蓝,力量,1,2,666,蓝,耐力,1,2,666,蓝,物理攻击,20,30,666,蓝,物理防御,12,18,666,蓝,法术攻击,20,30,666,蓝,法术防御,12,18,666,蓝,血量,60,90,666,蓝,速度,10,15,666,蓝,治疗效果,50,50,666,蓝,受治疗效果,50,50,666,蓝,最终伤害增加,20,30,666,蓝,最终伤害减免,20,30,666,蓝,,,,,,,,,,
1008101,1,暴击,150,150,833,蓝,敏捷,4,4,833,蓝,力量,4,4,833,蓝,耐力,4,4,833,蓝,物理攻击,80,80,833,蓝,物理防御,48,48,833,蓝,法术防御,48,48,833,蓝,血量,240,240,833,蓝,速度,40,40,833,蓝,受治疗效果,150,150,833,蓝,最终伤害增加,80,80,833,蓝,最终伤害减免,80,80,833,蓝,,,,,,,,,,,,,,,,,,,,,,,,,
1008102,2,暴击,100,100,833,蓝,敏捷,3,3,833,蓝,力量,3,3,833,蓝,耐力,3,3,833,蓝,物理攻击,50,50,833,蓝,物理防御,30,30,833,蓝,法术防御,30,30,833,蓝,血量,150,150,833,蓝,速度,25,25,833,蓝,受治疗效果,100,100,833,蓝,最终伤害增加,50,50,833,蓝,最终伤害减免,50,50,833,蓝,,,,,,,,,,,,,,,,,,,,,,,,,
1008201,1,闪避,150,150,666,蓝,智力,4,4,666,蓝,敏捷,4,4,666,蓝,力量,4,4,666,蓝,耐力,4,4,666,蓝,物理攻击,80,80,666,蓝,物理防御,48,48,666,蓝,法术攻击,80,80,666,蓝,法术防御,48,48,666,蓝,血量,240,240,666,蓝,速度,40,40,666,蓝,治疗效果,150,150,666,蓝,受治疗效果,150,150,666,蓝,最终伤害增加,80,80,666,蓝,最终伤害减免,80,80,666,蓝,,,,,,,,,,
1008202,2,闪避,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1008301,1,韧性,150,150,666,蓝,智力,4,4,666,蓝,敏捷,4,4,666,蓝,力量,4,4,666,蓝,耐力,4,4,666,蓝,物理攻击,80,80,666,蓝,物理防御,48,48,666,蓝,法术攻击,80,80,666,蓝,法术防御,48,48,666,蓝,血量,240,240,666,蓝,速度,40,40,666,蓝,治疗效果,150,150,666,蓝,受治疗效果,150,150,666,蓝,最终伤害增加,80,80,666,蓝,最终伤害减免,80,80,666,蓝,,,,,,,,,,
1008302,2,韧性,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1008401,1,穿透,150,150,666,蓝,智力,4,4,666,蓝,敏捷,4,4,666,蓝,力量,4,4,666,蓝,耐力,4,4,666,蓝,物理攻击,80,80,666,蓝,物理防御,48,48,666,蓝,法术攻击,80,80,666,蓝,法术防御,48,48,666,蓝,血量,240,240,666,蓝,速度,40,40,666,蓝,治疗效果,150,150,666,蓝,受治疗效果,150,150,666,蓝,最终伤害增加,80,80,666,蓝,最终伤害减免,80,80,666,蓝,,,,,,,,,,
1008402,2,穿透,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1008501,1,格挡,150,150,625,蓝,抵抗,150,150,625,蓝,智力,4,4,625,蓝,敏捷,4,4,625,蓝,力量,4,4,625,蓝,耐力,4,4,625,蓝,物理攻击,80,80,625,蓝,物理防御,48,48,625,蓝,法术攻击,80,80,625,蓝,法术防御,48,48,625,蓝,血量,240,240,625,蓝,速度,40,40,625,蓝,治疗效果,150,150,625,蓝,受治疗效果,150,150,625,蓝,最终伤害增加,80,80,625,蓝,最终伤害减免,80,80,625,蓝,,,,,
1008502,2,格挡,100,100,625,蓝,抵抗,100,100,625,蓝,智力,3,3,625,蓝,敏捷,3,3,625,蓝,力量,3,3,625,蓝,耐力,3,3,625,蓝,物理攻击,50,50,625,蓝,物理防御,30,30,625,蓝,法术攻击,50,50,625,蓝,法术防御,30,30,625,蓝,血量,150,150,625,蓝,速度,25,25,625,蓝,治疗效果,100,100,625,蓝,受治疗效果,100,100,625,蓝,最终伤害增加,50,50,625,蓝,最终伤害减免,50,50,625,蓝,,,,,
1008601,1,穿透,150,150,666,蓝,智力,4,4,666,蓝,敏捷,4,4,666,蓝,力量,4,4,666,蓝,耐力,4,4,666,蓝,物理攻击,80,80,666,蓝,物理防御,48,48,666,蓝,法术攻击,80,80,666,蓝,法术防御,48,48,666,蓝,血量,240,240,666,蓝,速度,40,40,666,蓝,治疗效果,150,150,666,蓝,受治疗效果,150,150,666,蓝,最终伤害增加,80,80,666,蓝,最终伤害减免,80,80,666,蓝,,,,,,,,,,
1008602,2,穿透,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1008701,1,韧性,150,150,666,蓝,智力,4,4,666,蓝,敏捷,4,4,666,蓝,力量,4,4,666,蓝,耐力,4,4,666,蓝,物理攻击,80,80,666,蓝,物理防御,48,48,666,蓝,法术攻击,80,80,666,蓝,法术防御,48,48,666,蓝,血量,240,240,666,蓝,速度,40,40,666,蓝,治疗效果,150,150,666,蓝,受治疗效果,150,150,666,蓝,最终伤害增加,80,80,666,蓝,最终伤害减免,80,80,666,蓝,,,,,,,,,,
1008702,2,韧性,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1008801,1,命中,150,150,769,蓝,智力,4,4,769,蓝,敏捷,4,4,769,蓝,耐力,4,4,769,蓝,物理防御,48,48,769,蓝,法术攻击,80,80,769,蓝,法术防御,48,48,769,蓝,血量,240,240,769,蓝,速度,40,40,769,蓝,治疗效果,150,150,769,蓝,受治疗效果,150,150,769,蓝,最终伤害增加,80,80,769,蓝,最终伤害减免,80,80,769,蓝,,,,,,,,,,,,,,,,,,,,
1008802,2,命中,100,100,769,蓝,智力,3,3,769,蓝,敏捷,3,3,769,蓝,耐力,3,3,769,蓝,物理防御,30,30,769,蓝,法术攻击,50,50,769,蓝,法术防御,30,30,769,蓝,血量,150,150,769,蓝,速度,25,25,769,蓝,治疗效果,100,100,769,蓝,受治疗效果,100,100,769,蓝,最终伤害增加,50,50,769,蓝,最终伤害减免,50,50,769,蓝,,,,,,,,,,,,,,,,,,,,
1008901,3,命中,100,200,769,紫,智力,3,5,769,紫,敏捷,3,5,769,紫,耐力,3,5,769,紫,物理防御,30,54,769,紫,法术攻击,50,90,769,紫,法术防御,30,54,769,紫,血量,150,270,769,紫,速度,25,45,769,紫,治疗效果,100,200,769,紫,受治疗效果,100,200,769,紫,最终伤害增加,50,90,769,紫,最终伤害减免,50,90,769,紫,,,,,,,,,,,,,,,,,,,,
1008902,3,命中,100,200,769,紫,智力,3,5,769,紫,敏捷,3,5,769,紫,耐力,3,5,769,紫,物理防御,30,54,769,紫,法术攻击,50,90,769,紫,法术防御,30,54,769,紫,血量,150,270,769,紫,速度,25,45,769,紫,治疗效果,100,200,769,紫,受治疗效果,100,200,769,紫,最终伤害增加,50,90,769,紫,最终伤害减免,50,90,769,紫,,,,,,,,,,,,,,,,,,,,
1009001,3,暴击,100,200,833,紫,敏捷,3,5,833,紫,力量,3,5,833,紫,耐力,3,5,833,紫,物理攻击,50,90,833,紫,物理防御,30,54,833,紫,法术防御,30,54,833,紫,血量,150,270,833,紫,速度,25,45,833,紫,受治疗效果,100,200,833,紫,最终伤害增加,50,90,833,紫,最终伤害减免,50,90,833,紫,,,,,,,,,,,,,,,,,,,,,,,,,
1009002,3,暴击,100,200,833,紫,敏捷,3,5,833,紫,力量,3,5,833,紫,耐力,3,5,833,紫,物理攻击,50,90,833,紫,物理防御,30,54,833,紫,法术防御,30,54,833,紫,血量,150,270,833,紫,速度,25,45,833,紫,受治疗效果,100,200,833,紫,最终伤害增加,50,90,833,紫,最终伤害减免,50,90,833,紫,,,,,,,,,,,,,,,,,,,,,,,,,
1009101,3,韧性,100,200,666,紫,智力,3,5,666,紫,敏捷,3,5,666,紫,力量,3,5,666,紫,耐力,3,5,666,紫,物理攻击,50,90,666,紫,物理防御,30,54,666,紫,法术攻击,50,90,666,紫,法术防御,30,54,666,紫,血量,150,270,666,紫,速度,25,45,666,紫,治疗效果,100,200,666,紫,受治疗效果,100,200,666,紫,最终伤害增加,50,90,666,紫,最终伤害减免,50,90,666,紫,,,,,,,,,,
1009102,3,韧性,100,200,666,紫,智力,3,5,666,紫,敏捷,3,5,666,紫,力量,3,5,666,紫,耐力,3,5,666,紫,物理攻击,50,90,666,紫,物理防御,30,54,666,紫,法术攻击,50,90,666,紫,法术防御,30,54,666,紫,血量,150,270,666,紫,速度,25,45,666,紫,治疗效果,100,200,666,紫,受治疗效果,100,200,666,紫,最终伤害增加,50,90,666,紫,最终伤害减免,50,90,666,紫,,,,,,,,,,
1009201,3,格挡,100,200,625,紫,抵抗,100,200,625,紫,智力,3,5,625,紫,敏捷,3,5,625,紫,力量,3,5,625,紫,耐力,3,5,625,紫,物理攻击,50,90,625,紫,物理防御,30,54,625,紫,法术攻击,50,90,625,紫,法术防御,30,54,625,紫,血量,150,270,625,紫,速度,25,45,625,紫,治疗效果,100,200,625,紫,受治疗效果,100,200,625,紫,最终伤害增加,50,90,625,紫,最终伤害减免,50,90,625,紫,,,,,
