Table:CsvDropMgr,,,,
tid,name:s,group,probability,sub_group
10607101,征战-第06章-第07关-1星-铜币,106071,10000,10607101
10607102,征战-第06章-第07关-1星-战魂,106071,10000,10607102
10608101,征战-第06章-第08关-1星-铜币,106081,10000,10608101
10608102,征战-第06章-第08关-1星-战魂,106081,10000,10608102
10609101,征战-第06章-第09关-1星-铜币,106091,10000,10609101
10609102,征战-第06章-第09关-1星-战魂,106091,10000,10609102
10609103,征战-第06章-第09关-1星-一级升级材料2,106091,10000,10609103
10609104,,106091,1000,10609104
10609105,,106091,10,10609105
10610101,征战-第06章-第10关-1星-铜币,106101,10000,10610101
10610102,征战-第06章-第10关-1星-战魂,106101,10000,10610102
10610103,征战-第06章-第10关-1星-一级升级材料3,106101,10000,10610103
10610104,,106101,1500,10610104
10701101,征战-第07章-第01关-1星-铜币,107011,10000,10701101
10701102,征战-第07章-第01关-1星-战魂,107011,10000,10701102
10702101,征战-第07章-第02关-1星-铜币,107021,10000,10702101
10702102,征战-第07章-第02关-1星-战魂,107021,10000,10702102
10703101,征战-第07章-第03关-1星-铜币,107031,10000,10703101
10703102,征战-第07章-第03关-1星-战魂,107031,10000,10703102
10704101,征战-第07章-第04关-1星-铜币,107041,10000,10704101
10704102,征战-第07章-第04关-1星-战魂,107041,10000,10704102
10705101,征战-第07章-第05关-1星-铜币,107051,10000,10705101
10705102,征战-第07章-第05关-1星-战魂,107051,10000,10705102
10705103,征战-第07章-第05关-1星-一级升级材料1,107051,10000,10705103
10705104,,107051,1000,10705104
10705105,,107051,10,10705105
10706101,征战-第07章-第06关-1星-铜币,107061,10000,10706101
10706102,征战-第07章-第06关-1星-战魂,107061,10000,10706102
10707101,征战-第07章-第07关-1星-铜币,107071,10000,10707101
10707102,征战-第07章-第07关-1星-战魂,107071,10000,10707102
10708101,征战-第07章-第08关-1星-铜币,107081,10000,10708101
10708102,征战-第07章-第08关-1星-战魂,107081,10000,10708102
10709101,征战-第07章-第09关-1星-铜币,107091,10000,10709101
10709102,征战-第07章-第09关-1星-战魂,107091,10000,10709102
10709103,征战-第07章-第09关-1星-一级升级材料2,107091,10000,10709103
10709104,,107091,1000,10709104
10709105,,107091,10,10709105
10710101,征战-第07章-第10关-1星-铜币,107101,10000,10710101
10710102,征战-第07章-第10关-1星-战魂,107101,10000,10710102
10710103,征战-第07章-第10关-1星-一级升级材料3,107101,10000,10710103
10710104,,107101,1500,10710104
10801101,征战-第08章-第01关-1星-铜币,108011,10000,10801101
10801102,征战-第08章-第01关-1星-战魂,108011,10000,10801102
10802101,征战-第08章-第02关-1星-铜币,108021,10000,10802101
10802102,征战-第08章-第02关-1星-战魂,108021,10000,10802102
10803101,征战-第08章-第03关-1星-铜币,108031,10000,10803101
10803102,征战-第08章-第03关-1星-战魂,108031,10000,10803102
10804101,征战-第08章-第04关-1星-铜币,108041,10000,10804101
10804102,征战-第08章-第04关-1星-战魂,108041,10000,10804102
10805101,征战-第08章-第05关-1星-铜币,108051,10000,10805101
10805102,征战-第08章-第05关-1星-战魂,108051,10000,10805102
10805103,征战-第08章-第05关-1星-一级升级材料1,108051,10000,10805103
10805104,,108051,1000,10805104
10805105,,108051,10,10805105
10806101,征战-第08章-第06关-1星-铜币,108061,10000,10806101
10806102,征战-第08章-第06关-1星-战魂,108061,10000,10806102
10807101,征战-第08章-第07关-1星-铜币,108071,10000,10807101
10807102,征战-第08章-第07关-1星-战魂,108071,10000,10807102
10808101,征战-第08章-第08关-1星-铜币,108081,10000,10808101
10808102,征战-第08章-第08关-1星-战魂,108081,10000,10808102
10809101,征战-第08章-第09关-1星-铜币,108091,10000,10809101
10809102,征战-第08章-第09关-1星-战魂,108091,10000,10809102
10809103,征战-第08章-第09关-1星-一级升级材料2,108091,10000,10809103
10809104,,108091,1000,10809104
10809105,,108091,10,10809105
10810101,征战-第08章-第10关-1星-铜币,108101,10000,10810101
10810102,征战-第08章-第10关-1星-战魂,108101,10000,10810102
10810103,征战-第08章-第10关-1星-一级升级材料3,108101,10000,10810103
10810104,,108101,1500,10810104
10901101,征战-第09章-第01关-1星-铜币,109011,10000,10901101
10901102,征战-第09章-第01关-1星-战魂,109011,10000,10901102
10902101,征战-第09章-第02关-1星-铜币,109021,10000,10902101
10902102,征战-第09章-第02关-1星-战魂,109021,10000,10902102
10903101,征战-第09章-第03关-1星-铜币,109031,10000,10903101
10903102,征战-第09章-第03关-1星-战魂,109031,10000,10903102
10904101,征战-第09章-第04关-1星-铜币,109041,10000,10904101
10904102,征战-第09章-第04关-1星-战魂,109041,10000,10904102
10905101,征战-第09章-第05关-1星-铜币,109051,10000,10905101
10905102,征战-第09章-第05关-1星-战魂,109051,10000,10905102
10905103,征战-第09章-第05关-1星-一级升级材料2,109051,10000,10905103
10905104,,109051,1000,10905104
10905105,,109051,10,10905105
10906101,征战-第09章-第06关-1星-铜币,109061,10000,10906101
10906102,征战-第09章-第06关-1星-战魂,109061,10000,10906102
10907101,征战-第09章-第07关-1星-铜币,109071,10000,10907101
10907102,征战-第09章-第07关-1星-战魂,109071,10000,10907102
10908101,征战-第09章-第08关-1星-铜币,109081,10000,10908101
10908102,征战-第09章-第08关-1星-战魂,109081,10000,10908102
10909101,征战-第09章-第09关-1星-铜币,109091,10000,10909101
10909102,征战-第09章-第09关-1星-战魂,109091,10000,10909102
10909103,征战-第09章-第09关-1星-一级升级材料3,109091,10000,10909103
10909104,,109091,1000,10909104
10909105,,109091,10,10909105
10910101,征战-第09章-第10关-1星-铜币,109101,10000,10910101
10910102,征战-第09章-第10关-1星-战魂,109101,10000,10910102
10910103,征战-第09章-第10关-1星-一级升级材料4,109101,10000,10910103
10910104,,109101,1000,10910104
11001101,征战-第10章-第01关-1星-铜币,110011,10000,11001101
11001102,征战-第10章-第01关-1星-战魂,110011,10000,11001102
11002101,征战-第10章-第02关-1星-铜币,110021,10000,11002101
11002102,征战-第10章-第02关-1星-战魂,110021,10000,11002102
11003101,征战-第10章-第03关-1星-铜币,110031,10000,11003101
11003102,征战-第10章-第03关-1星-战魂,110031,10000,11003102
11004101,征战-第10章-第04关-1星-铜币,110041,10000,11004101
11004102,征战-第10章-第04关-1星-战魂,110041,10000,11004102
11005101,征战-第10章-第05关-1星-铜币,110051,10000,11005101
11005102,征战-第10章-第05关-1星-战魂,110051,10000,11005102
11005103,征战-第10章-第05关-1星-一级升级材料1,110051,10000,11005103
11005104,,110051,1000,11005104
11005105,,110051,10,11005105
11006101,征战-第10章-第06关-1星-铜币,110061,10000,11006101
11006102,征战-第10章-第06关-1星-战魂,110061,10000,11006102
11007101,征战-第10章-第07关-1星-铜币,110071,10000,11007101
11007102,征战-第10章-第07关-1星-战魂,110071,10000,11007102
11008101,征战-第10章-第08关-1星-铜币,110081,10000,11008101
11008102,征战-第10章-第08关-1星-战魂,110081,10000,11008102
11009101,征战-第10章-第09关-1星-铜币,110091,10000,11009101
11009102,征战-第10章-第09关-1星-战魂,110091,10000,11009102
11009103,征战-第10章-第09关-1星-一级升级材料3,110091,10000,11009103
11009104,,110091,1000,11009104
11009105,,110091,10,11009105
11010101,征战-第10章-第10关-1星-铜币,110101,10000,11010101
11010102,征战-第10章-第10关-1星-战魂,110101,10000,11010102
11010103,征战-第10章-第10关-1星-一级升级材料4,110101,10000,11010103
11010104,,110101,1500,11010104
11101101,征战-第11章-第01关-1星-铜币,111011,10000,11101101
11101102,征战-第11章-第01关-1星-战魂,111011,10000,11101102
11102101,征战-第11章-第02关-1星-铜币,111021,10000,11102101
11102102,征战-第11章-第02关-1星-战魂,111021,10000,11102102
11103101,征战-第11章-第03关-1星-铜币,111031,10000,11103101
11103102,征战-第11章-第03关-1星-战魂,111031,10000,11103102
11104101,征战-第11章-第04关-1星-铜币,111041,10000,11104101
11104102,征战-第11章-第04关-1星-战魂,111041,10000,11104102
11105101,征战-第11章-第05关-1星-铜币,111051,10000,11105101
11105102,征战-第11章-第05关-1星-战魂,111051,10000,11105102
11105103,征战-第11章-第05关-1星-一级升级材料2,111051,10000,11105103
11105104,,111051,1000,11105104
11105105,,111051,10,11105105
11106101,征战-第11章-第06关-1星-铜币,111061,10000,11106101
11106102,征战-第11章-第06关-1星-战魂,111061,10000,11106102
11107101,征战-第11章-第07关-1星-铜币,111071,10000,11107101
11107102,征战-第11章-第07关-1星-战魂,111071,10000,11107102
11108101,征战-第11章-第08关-1星-铜币,111081,10000,11108101
11108102,征战-第11章-第08关-1星-战魂,111081,10000,11108102
11109101,征战-第11章-第09关-1星-铜币,111091,10000,11109101
11109102,征战-第11章-第09关-1星-战魂,111091,10000,11109102
11109103,征战-第11章-第09关-1星-一级升级材料3,111091,10000,11109103
11109104,,111091,1000,11109104
11109105,,111091,10,11109105
11110101,征战-第11章-第10关-1星-铜币,111101,10000,11110101
11110102,征战-第11章-第10关-1星-战魂,111101,10000,11110102
11110103,征战-第11章-第10关-1星-一级升级材料4,111101,10000,11110103
11110104,,111101,1000,11110104
11201101,征战-第12章-第01关-1星-铜币,112011,10000,11201101
11201102,征战-第12章-第01关-1星-战魂,112011,10000,11201102
11202101,征战-第12章-第02关-1星-铜币,112021,10000,11202101
11202102,征战-第12章-第02关-1星-战魂,112021,10000,11202102
11203101,征战-第12章-第03关-1星-铜币,112031,10000,11203101
11203102,征战-第12章-第03关-1星-战魂,112031,10000,11203102
11204101,征战-第12章-第04关-1星-铜币,112041,10000,11204101
11204102,征战-第12章-第04关-1星-战魂,112041,10000,11204102
11205101,征战-第12章-第05关-1星-铜币,112051,10000,11205101
11205102,征战-第12章-第05关-1星-战魂,112051,10000,11205102
11205103,征战-第12章-第05关-1星-一级升级材料1,112051,10000,11205103
11205104,,112051,1000,11205104
11205105,,112051,10,11205105
11206101,征战-第12章-第06关-1星-铜币,112061,10000,11206101
11206102,征战-第12章-第06关-1星-战魂,112061,10000,11206102
11207101,征战-第12章-第07关-1星-铜币,112071,10000,11207101
11207102,征战-第12章-第07关-1星-战魂,112071,10000,11207102
11208101,征战-第12章-第08关-1星-铜币,112081,10000,11208101
11208102,征战-第12章-第08关-1星-战魂,112081,10000,11208102
11209101,征战-第12章-第09关-1星-铜币,112091,10000,11209101
11209102,征战-第12章-第09关-1星-战魂,112091,10000,11209102
11209103,征战-第12章-第09关-1星-一级升级材料3,112091,10000,11209103
11209104,,112091,1000,11209104
11209105,,112091,10,11209105
11210101,征战-第12章-第10关-1星-铜币,112101,10000,11210101
11210102,征战-第12章-第10关-1星-战魂,112101,10000,11210102
11210103,征战-第12章-第10关-1星-一级升级材料4,112101,10000,11210103
11210104,,112101,1500,11210104
11301101,征战-第13章-第01关-1星-铜币,113011,10000,11301101
11301102,征战-第13章-第01关-1星-战魂,113011,10000,11301102
11302101,征战-第13章-第02关-1星-铜币,113021,10000,11302101
11302102,征战-第13章-第02关-1星-战魂,113021,10000,11302102
11303101,征战-第13章-第03关-1星-铜币,113031,10000,11303101
11303102,征战-第13章-第03关-1星-战魂,113031,10000,11303102
11304101,征战-第13章-第04关-1星-铜币,113041,10000,11304101
11304102,征战-第13章-第04关-1星-战魂,113041,10000,11304102
11305101,征战-第13章-第05关-1星-铜币,113051,10000,11305101
11305102,征战-第13章-第05关-1星-战魂,113051,10000,11305102
11305103,征战-第13章-第05关-1星-二级升级材料1,113051,10000,11305103
11305104,,113051,1000,11305104
11305105,,113051,10,11305105
11306101,征战-第13章-第06关-1星-铜币,113061,10000,11306101
11306102,征战-第13章-第06关-1星-战魂,113061,10000,11306102
11307101,征战-第13章-第07关-1星-铜币,113071,10000,11307101
11307102,征战-第13章-第07关-1星-战魂,113071,10000,11307102
11308101,征战-第13章-第08关-1星-铜币,113081,10000,11308101
11308102,征战-第13章-第08关-1星-战魂,113081,10000,11308102
11309101,征战-第13章-第09关-1星-铜币,113091,10000,11309101
11309102,征战-第13章-第09关-1星-战魂,113091,10000,11309102
11309103,征战-第13章-第09关-1星-二级升级材料2,113091,10000,11309103
11309104,,113091,1000,11309104
11309105,,113091,10,11309105
11310101,征战-第13章-第10关-1星-铜币,113101,10000,11310101
11310102,征战-第13章-第10关-1星-战魂,113101,10000,11310102
11310103,征战-第13章-第10关-1星-二级升级材料3,113101,10000,11310103
11310104,,113101,1000,11310104
11401101,征战-第14章-第01关-1星-铜币,114011,10000,11401101
11401102,征战-第14章-第01关-1星-战魂,114011,10000,11401102
11402101,征战-第14章-第02关-1星-铜币,114021,10000,11402101
11402102,征战-第14章-第02关-1星-战魂,114021,10000,11402102
11403101,征战-第14章-第03关-1星-铜币,114031,10000,11403101
11403102,征战-第14章-第03关-1星-战魂,114031,10000,11403102
11404101,征战-第14章-第04关-1星-铜币,114041,10000,11404101
11404102,征战-第14章-第04关-1星-战魂,114041,10000,11404102
11405101,征战-第14章-第05关-1星-铜币,114051,10000,11405101
11405102,征战-第14章-第05关-1星-战魂,114051,10000,11405102
11405103,征战-第14章-第05关-1星-二级升级材料1,114051,10000,11405103
11405104,,114051,1000,11405104
11405105,,114051,10,11405105
11406101,征战-第14章-第06关-1星-铜币,114061,10000,11406101
11406102,征战-第14章-第06关-1星-战魂,114061,10000,11406102
11407101,征战-第14章-第07关-1星-铜币,114071,10000,11407101
11407102,征战-第14章-第07关-1星-战魂,114071,10000,11407102
11408101,征战-第14章-第08关-1星-铜币,114081,10000,11408101
11408102,征战-第14章-第08关-1星-战魂,114081,10000,11408102
11409101,征战-第14章-第09关-1星-铜币,114091,10000,11409101
11409102,征战-第14章-第09关-1星-战魂,114091,10000,11409102
11409103,征战-第14章-第09关-1星-二级升级材料2,114091,10000,11409103
11409104,,114091,1000,11409104
11409105,,114091,10,11409105
11410101,征战-第14章-第10关-1星-铜币,114101,10000,11410101
11410102,征战-第14章-第10关-1星-战魂,114101,10000,11410102
11410103,征战-第14章-第10关-1星-二级升级材料3,114101,10000,11410103
11410104,,114101,1500,11410104
11501101,征战-第15章-第01关-1星-铜币,115011,10000,11501101
11501102,征战-第15章-第01关-1星-战魂,115011,10000,11501102
11502101,征战-第15章-第02关-1星-铜币,115021,10000,11502101
11502102,征战-第15章-第02关-1星-战魂,115021,10000,11502102
11503101,征战-第15章-第03关-1星-铜币,115031,10000,11503101
11503102,征战-第15章-第03关-1星-战魂,115031,10000,11503102
11504101,征战-第15章-第04关-1星-铜币,115041,10000,11504101
11504102,征战-第15章-第04关-1星-战魂,115041,10000,11504102
11505101,征战-第15章-第05关-1星-铜币,115051,10000,11505101
11505102,征战-第15章-第05关-1星-战魂,115051,10000,11505102
11505103,征战-第15章-第05关-1星-二级升级材料1,115051,10000,11505103
11505104,,115051,1000,11505104
11505105,,115051,10,11505105
11506101,征战-第15章-第06关-1星-铜币,115061,10000,11506101
11506102,征战-第15章-第06关-1星-战魂,115061,10000,11506102
11507101,征战-第15章-第07关-1星-铜币,115071,10000,11507101
11507102,征战-第15章-第07关-1星-战魂,115071,10000,11507102
11508101,征战-第15章-第08关-1星-铜币,115081,10000,11508101
11508102,征战-第15章-第08关-1星-战魂,115081,10000,11508102
11509101,征战-第15章-第09关-1星-铜币,115091,10000,11509101
11509102,征战-第15章-第09关-1星-战魂,115091,10000,11509102
11509103,征战-第15章-第09关-1星-二级升级材料2,115091,10000,11509103
11509104,,115091,1000,11509104
11509105,,115091,10,11509105
11510101,征战-第15章-第10关-1星-铜币,115101,10000,11510101
11510102,征战-第15章-第10关-1星-战魂,115101,10000,11510102
11510103,征战-第15章-第10关-1星-二级升级材料3,115101,10000,11510103
11510104,,115101,1000,11510104
11601101,征战-第16章-第01关-1星-铜币,116011,10000,11601101
11601102,征战-第16章-第01关-1星-战魂,116011,10000,11601102
11602101,征战-第16章-第02关-1星-铜币,116021,10000,11602101
11602102,征战-第16章-第02关-1星-战魂,116021,10000,11602102
11603101,征战-第16章-第03关-1星-铜币,116031,10000,11603101
11603102,征战-第16章-第03关-1星-战魂,116031,10000,11603102
11604101,征战-第16章-第04关-1星-铜币,116041,10000,11604101
11604102,征战-第16章-第04关-1星-战魂,116041,10000,11604102
11605101,征战-第16章-第05关-1星-铜币,116051,10000,11605101
11605102,征战-第16章-第05关-1星-战魂,116051,10000,11605102
11605103,征战-第16章-第05关-1星-二级升级材料4-1,116051,10000,11605103
11605104,,116051,1000,11605104
11605105,,116051,10,11605105
11606101,征战-第16章-第06关-1星-铜币,116061,10000,11606101
11606102,征战-第16章-第06关-1星-战魂,116061,10000,11606102
11607101,征战-第16章-第07关-1星-铜币,116071,10000,11607101
11607102,征战-第16章-第07关-1星-战魂,116071,10000,11607102
11608101,征战-第16章-第08关-1星-铜币,116081,10000,11608101
11608102,征战-第16章-第08关-1星-战魂,116081,10000,11608102
11609101,征战-第16章-第09关-1星-铜币,116091,10000,11609101
11609102,征战-第16章-第09关-1星-战魂,116091,10000,11609102
11609103,征战-第16章-第09关-1星-二级升级材料1,116091,10000,11609103
11609104,,116091,1000,11609104
11609105,,116091,10,11609105
11610101,征战-第16章-第10关-1星-铜币,116101,10000,11610101
11610102,征战-第16章-第10关-1星-战魂,116101,10000,11610102
11610103,征战-第16章-第10关-1星-二级升级材料2,116101,10000,11610103
11610104,,116101,1500,11610104
11701101,征战-第17章-第01关-1星-铜币,117011,10000,11701101
11701102,征战-第17章-第01关-1星-战魂,117011,10000,11701102
11702101,征战-第17章-第02关-1星-铜币,117021,10000,11702101
11702102,征战-第17章-第02关-1星-战魂,117021,10000,11702102
11703101,征战-第17章-第03关-1星-铜币,117031,10000,11703101
11703102,征战-第17章-第03关-1星-战魂,117031,10000,11703102
11704101,征战-第17章-第04关-1星-铜币,117041,10000,11704101
11704102,征战-第17章-第04关-1星-战魂,117041,10000,11704102
11705101,征战-第17章-第05关-1星-铜币,117051,10000,11705101
11705102,征战-第17章-第05关-1星-战魂,117051,10000,11705102
11705103,征战-第17章-第05关-1星-二级升级材料3,117051,10000,11705103
11705104,,117051,1000,11705104
11705105,,117051,10,11705105
11706101,征战-第17章-第06关-1星-铜币,117061,10000,11706101
11706102,征战-第17章-第06关-1星-战魂,117061,10000,11706102
11707101,征战-第17章-第07关-1星-铜币,117071,10000,11707101
11707102,征战-第17章-第07关-1星-战魂,117071,10000,11707102
11708101,征战-第17章-第08关-1星-铜币,117081,10000,11708101
11708102,征战-第17章-第08关-1星-战魂,117081,10000,11708102
11709101,征战-第17章-第09关-1星-铜币,117091,10000,11709101
11709102,征战-第17章-第09关-1星-战魂,117091,10000,11709102
11709103,征战-第17章-第09关-1星-二级升级材料4-1,117091,10000,11709103
11709104,,117091,1000,11709104
11709105,,117091,10,11709105
11710101,征战-第17章-第10关-1星-铜币,117101,10000,11710101
11710102,征战-第17章-第10关-1星-战魂,117101,10000,11710102
11710103,征战-第17章-第10关-1星-二级升级材料1,117101,10000,11710103
11710104,,117101,1000,11710104
11801101,征战-第18章-第01关-1星-铜币,118011,10000,11801101
11801102,征战-第18章-第01关-1星-战魂,118011,10000,11801102
11802101,征战-第18章-第02关-1星-铜币,118021,10000,11802101
11802102,征战-第18章-第02关-1星-战魂,118021,10000,11802102
11803101,征战-第18章-第03关-1星-铜币,118031,10000,11803101
11803102,征战-第18章-第03关-1星-战魂,118031,10000,11803102
11804101,征战-第18章-第04关-1星-铜币,118041,10000,11804101
11804102,征战-第18章-第04关-1星-战魂,118041,10000,11804102
11805101,征战-第18章-第05关-1星-铜币,118051,10000,11805101
11805102,征战-第18章-第05关-1星-战魂,118051,10000,11805102
11805103,征战-第18章-第05关-1星-二级升级材料3,118051,10000,11805103
11805104,,118051,1000,11805104
11805105,,118051,10,11805105
11806101,征战-第18章-第06关-1星-铜币,118061,10000,11806101
11806102,征战-第18章-第06关-1星-战魂,118061,10000,11806102
11807101,征战-第18章-第07关-1星-铜币,118071,10000,11807101
11807102,征战-第18章-第07关-1星-战魂,118071,10000,11807102
11808101,征战-第18章-第08关-1星-铜币,118081,10000,11808101
11808102,征战-第18章-第08关-1星-战魂,118081,10000,11808102
11809101,征战-第18章-第09关-1星-铜币,118091,10000,11809101
11809102,征战-第18章-第09关-1星-战魂,118091,10000,11809102
11809103,征战-第18章-第09关-1星-二级升级材料4-1,118091,10000,11809103
11809104,,118091,1000,11809104
11809105,,118091,10,11809105
11810101,征战-第18章-第10关-1星-铜币,118101,10000,11810101
11810102,征战-第18章-第10关-1星-战魂,118101,10000,11810102
11810103,征战-第18章-第10关-1星-二级升级材料2,118101,10000,11810103
11810104,,118101,1500,11810104
11901101,征战-第19章-第01关-1星-铜币,119011,10000,11901101
11901102,征战-第19章-第01关-1星-战魂,119011,10000,11901102
11902101,征战-第19章-第02关-1星-铜币,119021,10000,11902101
11902102,征战-第19章-第02关-1星-战魂,119021,10000,11902102
11903101,征战-第19章-第03关-1星-铜币,119031,10000,11903101
11903102,征战-第19章-第03关-1星-战魂,119031,10000,11903102
11904101,征战-第19章-第04关-1星-铜币,119041,10000,11904101
11904102,征战-第19章-第04关-1星-战魂,119041,10000,11904102
11905101,征战-第19章-第05关-1星-铜币,119051,10000,11905101
11905102,征战-第19章-第05关-1星-战魂,119051,10000,11905102
11905103,征战-第19章-第05关-1星-二级升级材料3,119051,10000,11905103
11905104,,119051,1000,11905104
11905105,,119051,10,11905105
11906101,征战-第19章-第06关-1星-铜币,119061,10000,11906101
11906102,征战-第19章-第06关-1星-战魂,119061,10000,11906102
11907101,征战-第19章-第07关-1星-铜币,119071,10000,11907101
11907102,征战-第19章-第07关-1星-战魂,119071,10000,11907102
11908101,征战-第19章-第08关-1星-铜币,119081,10000,11908101
11908102,征战-第19章-第08关-1星-战魂,119081,10000,11908102
11909101,征战-第19章-第09关-1星-铜币,119091,10000,11909101
11909102,征战-第19章-第09关-1星-战魂,119091,10000,11909102
11909103,征战-第19章-第09关-1星-二级升级材料4-1,119091,10000,11909103
11909104,,119091,1000,11909104
11909105,,119091,10,11909105
11910101,征战-第19章-第10关-1星-铜币,119101,10000,11910101
11910102,征战-第19章-第10关-1星-战魂,119101,10000,11910102
11910103,征战-第19章-第10关-1星-二级升级材料4-2,119101,10000,11910103
11910104,,119101,1000,11910104
12001101,征战-第20章-第01关-1星-铜币,120011,10000,12001101
12001102,征战-第20章-第01关-1星-战魂,120011,10000,12001102
12002101,征战-第20章-第02关-1星-铜币,120021,10000,12002101
12002102,征战-第20章-第02关-1星-战魂,120021,10000,12002102
12003101,征战-第20章-第03关-1星-铜币,120031,10000,12003101
12003102,征战-第20章-第03关-1星-战魂,120031,10000,12003102
12004101,征战-第20章-第04关-1星-铜币,120041,10000,12004101
12004102,征战-第20章-第04关-1星-战魂,120041,10000,12004102
12005101,征战-第20章-第05关-1星-铜币,120051,10000,12005101
12005102,征战-第20章-第05关-1星-战魂,120051,10000,12005102
12005103,征战-第20章-第05关-1星-二级升级材料1,120051,10000,12005103
12005104,,120051,1000,12005104
12005105,,120051,10,12005105
12006101,征战-第20章-第06关-1星-铜币,120061,10000,12006101
12006102,征战-第20章-第06关-1星-战魂,120061,10000,12006102
12007101,征战-第20章-第07关-1星-铜币,120071,10000,12007101
12007102,征战-第20章-第07关-1星-战魂,120071,10000,12007102
12008101,征战-第20章-第08关-1星-铜币,120081,10000,12008101
12008102,征战-第20章-第08关-1星-战魂,120081,10000,12008102
12009101,征战-第20章-第09关-1星-铜币,120091,10000,12009101
12009102,征战-第20章-第09关-1星-战魂,120091,10000,12009102
12009103,征战-第20章-第09关-1星-二级升级材料3,120091,10000,12009103
12009104,,120091,1000,12009104
12009105,,120091,10,12009105
12010101,征战-第20章-第10关-1星-铜币,120101,10000,12010101
12010102,征战-第20章-第10关-1星-战魂,120101,10000,12010102
12010103,征战-第20章-第10关-1星-二级升级材料4-2,120101,10000,12010103
12010104,,120101,1500,12010104
12101101,征战-第21章-第01关-1星-铜币,121011,10000,12101101
12101102,征战-第21章-第01关-1星-战魂,121011,10000,12101102
12102101,征战-第21章-第02关-1星-铜币,121021,10000,12102101
12102102,征战-第21章-第02关-1星-战魂,121021,10000,12102102
12103101,征战-第21章-第03关-1星-铜币,121031,10000,12103101
12103102,征战-第21章-第03关-1星-战魂,121031,10000,12103102
12104101,征战-第21章-第04关-1星-铜币,121041,10000,12104101
12104102,征战-第21章-第04关-1星-战魂,121041,10000,12104102
12105101,征战-第21章-第05关-1星-铜币,121051,10000,12105101
12105102,征战-第21章-第05关-1星-战魂,121051,10000,12105102
12105103,征战-第21章-第05关-1星-二级升级材料2,121051,10000,12105103
12105104,,121051,1000,12105104
12105105,,121051,10,12105105
12106101,征战-第21章-第06关-1星-铜币,121061,10000,12106101
12106102,征战-第21章-第06关-1星-战魂,121061,10000,12106102
12107101,征战-第21章-第07关-1星-铜币,121071,10000,12107101
12107102,征战-第21章-第07关-1星-战魂,121071,10000,12107102
12108101,征战-第21章-第08关-1星-铜币,121081,10000,12108101
12108102,征战-第21章-第08关-1星-战魂,121081,10000,12108102
12109101,征战-第21章-第09关-1星-铜币,121091,10000,12109101
12109102,征战-第21章-第09关-1星-战魂,121091,10000,12109102
12109103,征战-第21章-第09关-1星-二级升级材料3,121091,10000,12109103
12109104,,121091,1000,12109104
12109105,,121091,10,12109105
12110101,征战-第21章-第10关-1星-铜币,121101,10000,12110101
12110102,征战-第21章-第10关-1星-战魂,121101,10000,12110102
12110103,征战-第21章-第10关-1星-二级升级材料4-2,121101,10000,12110103
12110104,,121101,1000,12110104
12201101,征战-第22章-第01关-1星-铜币,122011,10000,12201101
12201102,征战-第22章-第01关-1星-战魂,122011,10000,12201102
12202101,征战-第22章-第02关-1星-铜币,122021,10000,12202101
12202102,征战-第22章-第02关-1星-战魂,122021,10000,12202102
12203101,征战-第22章-第03关-1星-铜币,122031,10000,12203101
12203102,征战-第22章-第03关-1星-战魂,122031,10000,12203102
12204101,征战-第22章-第04关-1星-铜币,122041,10000,12204101
12204102,征战-第22章-第04关-1星-战魂,122041,10000,12204102
12205101,征战-第22章-第05关-1星-铜币,122051,10000,12205101
12205102,征战-第22章-第05关-1星-战魂,122051,10000,12205102
12205103,征战-第22章-第05关-1星-二级升级材料2,122051,10000,12205103
12206101,征战-第22章-第06关-1星-铜币,122061,10000,12206101
12206102,征战-第22章-第06关-1星-战魂,122061,10000,12206102
12207101,征战-第22章-第07关-1星-铜币,122071,10000,12207101
12207102,征战-第22章-第07关-1星-战魂,122071,10000,12207102
12208101,征战-第22章-第08关-1星-铜币,122081,10000,12208101
12208102,征战-第22章-第08关-1星-战魂,122081,10000,12208102
12209101,征战-第22章-第09关-1星-铜币,122091,10000,12209101
12209102,征战-第22章-第09关-1星-战魂,122091,10000,12209102
12209103,征战-第22章-第09关-1星-二级升级材料3,122091,10000,12209103
12210101,征战-第22章-第10关-1星-铜币,122101,10000,12210101
12210102,征战-第22章-第10关-1星-战魂,122101,10000,12210102
12210103,征战-第22章-第10关-1星-三级升级材料1,122101,10000,12210103
12210104,,122101,1500,12210104
12301101,征战-第23章-第01关-1星-铜币,123011,10000,12301101
12301102,征战-第23章-第01关-1星-战魂,123011,10000,12301102
12302101,征战-第23章-第02关-1星-铜币,123021,10000,12302101
12302102,征战-第23章-第02关-1星-战魂,123021,10000,12302102
12303101,征战-第23章-第03关-1星-铜币,123031,10000,12303101
12303102,征战-第23章-第03关-1星-战魂,123031,10000,12303102
12304101,征战-第23章-第04关-1星-铜币,123041,10000,12304101
12304102,征战-第23章-第04关-1星-战魂,123041,10000,12304102
12305101,征战-第23章-第05关-1星-铜币,123051,10000,12305101
12305102,征战-第23章-第05关-1星-战魂,123051,10000,12305102
12305103,征战-第23章-第05关-1星-二级升级材料2,123051,10000,12305103
12306101,征战-第23章-第06关-1星-铜币,123061,10000,12306101
12306102,征战-第23章-第06关-1星-战魂,123061,10000,12306102
12307101,征战-第23章-第07关-1星-铜币,123071,10000,12307101
12307102,征战-第23章-第07关-1星-战魂,123071,10000,12307102
