Table:CsvBulletSubtitle,,,,,,
tid,content:s,time:f,color:ItemColor,sceneid:s,,
1080913,好像还没刚才的熊强,6,红,108091,佐拉姆海岸,
1080914,手机没电了,9,红,108091,佐拉姆海岸,
1081011,三头蛇 大概比九头蛇差远了,3.9,红,108101,鞭笞者沃尔沙,1
1081012,颜色怪怪的,3,红,108101,鞭笞者沃尔沙,
1081013,基佬紫啊,5,红,108101,鞭笞者沃尔沙,
1081014,我的+3小黑好强,8,红,108101,鞭笞者沃尔沙,
1081015,打了6轮了还没过,11,红,108101,鞭笞者沃尔沙,
1090111,米奈希尔是阿尔萨斯的姓,3.2,红,109011,米奈希尔港,1
1090112,现在米奈希尔都已经沉了,4,红,109011,米奈希尔港,
1090113,大灾变的时候沉的吧,6,红,109011,米奈希尔港,
1090114,怪太弱你们就聊起来了吗,9,红,109011,米奈希尔港,
1090115,我还是觉得鱼人很强,10,红,109011,米奈希尔港,
1090211,之前看到过鳄鱼怪么,3.2,红,109021,黑水沼泽,1
1090212,我想起我叫MT里劣人抱着个鳄鱼,3,红,109021,黑水沼泽,
1090213,这鳄鱼血很多啊,5,红,109021,黑水沼泽,
1090214,代替熊成为新的肉盾了,8,红,109021,黑水沼泽,
1090215,打得好慢,11,红,109021,黑水沼泽,
1090311,大头龙又来了,2.9,红,109031,维尔加挖掘场,1
1090312,总感觉它站不稳,4,红,109031,维尔加挖掘场,
1090313,挖掘场是挖死的龙的,6,红,109031,维尔加挖掘场,
1090314,要这么多活的龙干嘛,9,红,109031,维尔加挖掘场,
1090315,不光是活的还会咬你的,10,红,109031,维尔加挖掘场,
1090411,藓皮这看的有点发毛,3.2,红,109041,藓皮沼泽,1
1090413,小斧头敲人还挺疼,5,红,109041,藓皮沼泽,
1090414,输出挺高,8,红,109041,藓皮沼泽,
1090415,他们没穿装备,11,红,109041,藓皮沼泽,
1090511,突如其来的boss,3.2,红,109051,怒牙营地,1
1090512,酋长的装备好像比小兵还磕碜,4,红,109051,怒牙营地,
1090513,并不是怒牙酋长,6,红,109051,怒牙营地,
1090514,龙喉兽人你们的龙呢,9,红,109051,怒牙营地,
1090611,这六兄弟又来了,3.2,红,109061,日落沼泽,1
1090612,变得更凶,3,红,109061,日落沼泽,
1090613,传说不带龙,5,红,109061,日落沼泽,
1090614,我的逐日者烧他们好爽啊,8,红,109061,日落沼泽,
1090615,吃人,11,红,109061,日落沼泽,
1090711,果然又是大头龙,3.4,红,109071,恐龙岭,1
1090712,毕竟恐龙岭,4,红,109071,恐龙岭,
1090713,我不想打恐龙了,6,红,109071,恐龙岭,
1090714,莫名想吃牛肉干,9,红,109071,恐龙岭,
1090715,灼烧效果在恐龙身上很逗,10,红,109071,恐龙岭,
1090811,矮人和吉安娜妹妹差不多高,4.5,红,109081,恶铁岭,3
1090812,怎么还不降温啊,3,红,109081,恶铁岭,
1090813,广州短袖势力无所畏惧,5,红,109081,恶铁岭,
1090814,北方家里有暖气无所畏惧,8,红,109081,恶铁岭,
1090815,这就尴尬了,11,红,109081,恶铁岭,
1090821,恐龙？,2.2,红,109082,恶铁岭,
1090822,四五六,4,红,109082,恶铁岭,
1090823,兽人永不为奴,6,红,109082,恶铁岭,
1090824,Lok-tar ogar ,9,红,109082,恶铁岭,
1090825,气势很强,10,红,109082,恶铁岭,
1090831,看着对面六个壮汉,2.9,红,109083,恶铁岭,
1090832,就是刚正面,3,红,109083,恶铁岭,
1090833,等下就是六发旋风斩,5,红,109083,恶铁岭,
1090834,就问你怕不怕,8,红,109083,恶铁岭,
1090835,我好方,11,红,109083,恶铁岭,
1090911,你们怎么赚钱的,3.1,红,109091,丹莫德,1
1090912,你们怎么还不去死一死,2,红,109091,丹莫德,
1090913,蝙蝠侠同款面具,6,红,109091,丹莫德,
1090914,脸好黑,9,红,109091,丹莫德,
1090915,胡子很黄很暴力,10,红,109091,丹莫德,
1091011,鱼人带老大来了,2,红,109101,盐沫沼泽,1
1091012,。。。好难,3,红,109101,盐沫沼泽,
1091013,一口回2000卧槽,5,红,109101,盐沫沼泽,
1091014,好过分啊这治疗量,8,红,109101,盐沫沼泽,
1091015,符文图腾流下了羞愧的泪水,11,红,109101,盐沫沼泽,
1100111,这不是亡灵的出生点么,2.5,红,110011,丧钟镇,1
1100112,我有个亡灵法师号,4,红,110011,丧钟镇,
1100113,人家叫被遗忘者好吧,6,红,110011,丧钟镇,
1100114,女王可以舔,9,红,110011,丧钟镇,
1100115,这地图名字很渗人,10,红,110011,丧钟镇,
1100211,血色法师呢,2.9,红,110021,血色营地,1
1100212,战法牧的铁三角都没啦,3,红,110021,血色营地,
1100213,妖兽了,5,红,110021,血色营地,
1100214,有点疼,8,红,110021,血色营地,
1100215,我要打血色修道院,11,红,110021,血色营地,
1100311,一群初级兵,2.9,红,110031,索利丹农场,1
1100312,亡灵史莱姆,4,红,110031,索利丹农场,
1100313,二头身莫名萌,6,红,110031,索利丹农场,
1100314,瘦成这样得有多饿,9,红,110031,索利丹农场,
1100315,早就饿死了,10,红,110031,索利丹农场,
1100411,豺狼人在磨坊干嘛,3.2,红,110041,阿加曼德磨坊,1
1100412,我记得这磨坊有大风车,3,红,110041,阿加曼德磨坊,
1100413,豺狼人还会磨谷子啊,5,红,110041,阿加曼德磨坊,
1100414,居然不是拿的狼牙棒,8,红,110041,阿加曼德磨坊,
1100415,用自己的牙么233,11,红,110041,阿加曼德磨坊,
1100511,我不想打鱼人了,2.8,红,110051,北部海岸,1
1100512,又是带药的那种么,4,红,110051,北部海岸,
1100513,鱼人就是哇啦哇啦哇啦,6,红,110051,北部海岸,
1100514,我打的就比它回的多一点点,9,红,110051,北部海岸,
1100515,这要打到何年何月,10,红,110051,北部海岸,
1100611,连续两关鱼人,2.7,红,110061,澈水湖,1
1100612,鱼人万岁,3,红,110061,澈水湖,
1100613,怎么这一关比前面的弱,5,红,110061,澈水湖,
1100614,但是人家伤害高,8,红,110061,澈水湖,
1100615,GGWP,11,红,110061,澈水湖,
1100711,布瑞尔那边有飞艇,2.9,红,110071,布瑞尔,1
1100712,无头骑士,4,红,110071,布瑞尔,
1100713,无头马都没有还敢发弹幕吗,6,红,110071,布瑞尔,
1100714,生气,9,红,110071,布瑞尔,
1100715,关键的一个暴击,12,红,110071,布瑞尔,
1100811,全是蝙蝠啊,2.8,红,110081,洛丹伦废墟,1
1100812,我以为会是亡灵怪什么的,3,红,110081,洛丹伦废墟,
1100813,夜访吸血鬼,5,红,110081,洛丹伦废墟,
1100814,不会吸血的蝙蝠,8,红,110081,洛丹伦废墟,
1100815,好怕,11,红,110081,洛丹伦废墟,
1100822,这蝙蝠只会平A,4,红,110082,洛丹伦废墟,
1100823,对哦  不放技能的,6,红,110082,洛丹伦废墟,
1100824,有点蠢hhh,9,红,110082,洛丹伦废墟,
1100825,怒气一直是满的,10,红,110082,洛丹伦废墟,
1100831,这么蠢的怪 很好,2.5,红,110083,洛丹伦废墟,
1100832,好姜啊 没技能,4,红,110083,洛丹伦废墟,
1100833,揍他,5,红,110083,洛丹伦废墟,
1100834,生无可恋的一群蝙蝠,8,红,110083,洛丹伦废墟,
1100911,BOSS级的DP,2.9,红,110091,巴尼尔农场,1
1100912,来吧 姐妹们,4,红,110091,巴尼尔农场,
1100913,这个波好疼,6,红,110091,巴尼尔农场,
1100914,加油,9,红,110091,巴尼尔农场,
1100915,无限放波的咯,12,红,110091,巴尼尔农场,
1101011,你们认识法奥么,2,红,110101,法奥之墓,1
1101012,牧师加血比不上小鱼人,4,红,110101,法奥之墓,
1101013,牧师的耻辱啊,5,红,110101,法奥之墓,
1101014,符文图腾流下了羞愧的泪水,8,红,110101,法奥之墓,
1101015,战士的专职奶妈,11,红,110101,法奥之墓,
1110111,鱼人永不败,2.5,红,111011,东部海滩,1
1110112,看到海滩我就知道鱼人要来了,4,红,111011,东部海滩,
1110113,这个东部海滩的位置怎么在西边,6,红,111011,东部海滩,
1110114,娜迦居然不用水系魔法,9,红,111011,东部海滩,
1110115,我觉得你需要电一下,12,红,111011,东部海滩,
1110211,这儿有蛛丝马迹,2,红,111021,希尔斯农场,1
1110212,ZSMJ,4,红,111021,希尔斯农场,
1110213,十分钟3800你怕吗,5,红,111021,希尔斯农场,
1110214,不怕,8,红,111021,希尔斯农场,
1110215,这蜘蛛打得好疼,11,红,111021,希尔斯农场,
1110311,一点也不矮的矮人,2.7,红,111031,丹加洛克,1
1110312,omg,4,红,111031,丹加洛克,
1110313,等着大风车,6,红,111031,丹加洛克,
1110314,吃我旋风斩啦,9,红,111031,丹加洛克,
1110315,六把电风扇,12,红,111031,丹加洛克,
1110411,这个豺狼人没前缀,2.9,红,111041,奈杉德哨塔,1
1110412,一点也不强,4,红,111041,奈杉德哨塔,
1110413,斧头倒是擦得很亮,5,红,111041,奈杉德哨塔,
1110414,流氓,8,红,111041,奈杉德哨塔,
1110415,烈焰风暴,11,红,111041,奈杉德哨塔,
1110511,路霸是什么鬼,2.1,红,111051,敦霍尔登城堡,1
1110512,此路是我开,4,红,111051,敦霍尔登城堡,
1110513,此树是我栽,6,红,111051,敦霍尔登城堡,
1110514,要想从此过,9,红,111051,敦霍尔登城堡,
1110515,留下买路财,12,红,111051,敦霍尔登城堡,
1110611,木桩熊来了,2,红,111061,被感染的熊,1
1110612,晚上吃熊掌,4,红,111061,被感染的熊,
1110613,被感染的你也敢吃,5,红,111061,被感染的熊,
1110614,食物中毒了要,8,红,111061,被感染的熊,
1110615,惨,11,红,111061,被感染的熊,
1110711,无脑的僵尸,2.9,红,111071,塔伦米尔,1
1110712,难怪僵尸要吃别人的脑子,4,红,111071,塔伦米尔,
1110713,都是因为自己没有 ,6,红,111071,塔伦米尔,
1110714,满世界都是怪,9,红,111071,塔伦米尔,
1110811,山地车,2,红,111081,镇魂之药,3
1110812,这个狮子好萌,4,红,111081,镇魂之药,
1110813,嗷嗷嗷,5,红,111081,镇魂之药,
1110821,一二三四五,2.9,红,111082,镇魂之药,
1110822,上山打老虎,4,红,111082,镇魂之药,
1110823,老虎没打到,6,红,111082,镇魂之药,
1110824,打到小狮子,9,红,111082,镇魂之药,
1110825,你们一伙的？,10,红,111082,镇魂之药,
1110831,狮子有几只,2.5,红,111083,镇魂之药,
1110832,让我数一数,3,红,111083,镇魂之药,
1110833,一二三四五,5,红,111083,镇魂之药,
1110834,六！,7,红,111083,镇魂之药,
1110835,幼稚,9,红,111083,镇魂之药,
1110911,帮助还杀啊,2.6,红,111091,霜狼的帮助,1
1110912,爱你爱到杀死你哦,3,红,111091,霜狼的帮助,
1110913,这狼咬得好疼,5,红,111091,霜狼的帮助,
1110914,霜狼氏族,7,红,111091,霜狼的帮助,
1110915,正义,9,红,111091,霜狼的帮助,
1111011,雪人呢,1,红,111101,雪人的毛发,1
1111012,你告诉我这是雪人吗,4,红,111101,雪人的毛发,
1111013,路霸又出现了,6,红,111101,雪人的毛发,
1111014,要的不是钱是命啊,9,红,111101,雪人的毛发,
1111015,好像没有雪元素,10,红,111101,雪人的毛发,
1120111,绿洲里还有海龟,2.5,红,112011,甜水绿洲,1
1120112,有得喝还有得吃,3,红,112011,甜水绿洲,
1120113,龟吃起来挺麻烦吧,5,红,112011,甜水绿洲,
1120114,清炖,7,红,112011,甜水绿洲,
1120115,饿了,9,红,112011,甜水绿洲,
1120211,野猪人的哨所啊,2.9,红,112021,前沿哨所,1
1120212,野猪人都是左撇子么,4,红,112021,前沿哨所,
1120213,厉害了,6,红,112021,前沿哨所,
1120214,我是当兵的,9,红,112021,前沿哨所,
1120215,越来越打不动怪了,10,红,112021,前沿哨所,
1120311,死水绿洲和甜水绿洲有什么区别,2.6,红,112031,死水绿洲,1
1120312,水有毒?,3,红,112031,死水绿洲,
1120313,有点打不动,5,红,112031,死水绿洲,
1120314,你们武器都强化满了么,7,红,112031,死水绿洲,
1120315,哟呵，挺好,9,红,112031,死水绿洲,
1120411,海盗也叫勇士的咯,2.4,红,112041,勇士岛,1
1120412,对面的海盗叔叔和海盗阿姨,4,红,112041,勇士岛,
1120413,你们在外面做海盗,6,红,112041,勇士岛,
1120414,你们爸妈在家知道吗,9,红,112041,勇士岛,
1120415,大概好气,10,红,112041,勇士岛,
1120511,北方城堡已经被海盗占据了吗,2.8,红,112051,北方城堡,1
1120512,这不是联盟的城堡么,3,红,112051,北方城堡,
1120513,海盗这么强,5,红,112051,北方城堡,
1120514,不强啊  我吊打,7,红,112051,北方城堡,
1120515,你们好蠢,9,红,112051,北方城堡,
1120611,这个矮人不太矮,2.9,红,112061,巴尔莫丹,1
1120612,斧头和脸一样黑,4,红,112061,巴尔莫丹,
1120613,六个矮人,6,红,112061,巴尔莫丹,
1120614,问第七个去哪了,9,红,112061,巴尔莫丹,
1120615,反正我不是公主,10,红,112061,巴尔莫丹,
1120711,boss跑了,2.8,红,112071,矮人挖掘场,1
1120712,来了个顶替的,3,红,112071,矮人挖掘场,
1120713,我把胡子看成身体了,5,红,112071,矮人挖掘场,
1120714,胡子太大,7,红,112071,矮人挖掘场,
1120715,这里能挖到啥？,9,红,112071,矮人挖掘场,
1120811,左撇子野猪人,2.9,红,112081,野猪人营地,3
1120812,而且还有三波,4,红,112081,野猪人营地,
1120813,这么大一群,6,红,112081,野猪人营地,
1120814,毕竟是营地,9,红,112081,野猪人营地,
1120815,就不能换个帅一点的野猪人？,10,红,112081,野猪人营地,
1120821,die die die,3.6,红,112082,野猪人营地,
1120822,我路霸就是一个钩,3,红,112082,野猪人营地,
1120823,续一口先,5,红,112082,野猪人营地,
1120824,MD，这么强？,7,红,112082,野猪人营地,
1120825,讲道理，这些B好强,9,红,112082,野猪人营地,
1120831,打不过了要,2.7,红,112083,野猪人营地,
1120832,有点急,4,红,112083,野猪人营地,
1120833,血都不多了,6,红,112083,野猪人营地,
1120834,出去强化装备啊,9,红,112083,野猪人营地,
1120835,你们带的蓝色英雄么？,10,红,112083,野猪人营地,
1120911,辛巴！,2.8,红,112091,狮子的尊严,1
1120912,前面的小时候狮子王看多了,3,红,112091,狮子的尊严,
1120913,多好看,5,红,112091,狮子的尊严,
1120914,这是狮子？,7,红,112091,狮子的尊严,
1120915,没有山地狮萌,9,红,112091,狮子的尊严,
1121011,一群猪还搞内战,2.3,红,112101,野猪人的内战,1
1121012,我们是帮哪边,4,红,112101,野猪人的内战,
1121013,都不帮啊,6,红,112101,野猪人的内战,
1121014,坐收渔利,9,红,112101,野猪人的内战,
1121015,内战之王，外战全跪,10,红,112101,野猪人的内战,
1130111,阳光森林这么暗的,2.4,红,113011,阳光森林,1
1130112,狼都跑出来了,3,红,113011,阳光森林,
1130113,森林狼,5,红,113011,阳光森林,
1130114,快被挠死了,7,红,113011,阳光森林,
1130115,一口1000,9,红,113011,阳光森林,
1130211,这是一条弹幕,2.9,红,113021,高塔,1
1130212,前面的别卖萌好么,4,红,113021,高塔,
1130213,大头娃娃,6,红,113021,高塔,
1130214,都是二头身好吧,9,红,113021,高塔,
1130215,手脚有毒么？,10,红,113021,高塔,
1130311,墓场,2.4,红,113031,静谧花园墓场,1
1130312,有点害怕,3,红,113031,静谧花园墓场,
1130313,我刚拿了个20品的毁灭,5,红,113031,静谧花园墓场,
1130314,卧槽这么拿的,7,红,113031,静谧花园墓场,
1130315,感觉自己好强,9,红,113031,静谧花园墓场,
1130411,bad apple,2.3,红,113041,烂果园,1
1130412,东方邪教别跑,4,红,113041,烂果园,
1130413,这是前面的狼变身了,6,红,113041,烂果园,
1130414,月圆之夜嗷嗷嗷,9,红,113041,烂果园,
1130415,好呆的狼人,10,红,113041,烂果园,
1130511,这个任务我记得,2.6,红,113051,藏尸者的礼物,1
1130512,是那个炼金术师的吧,3,红,113051,藏尸者的礼物,
1130513,把他妻子用瘟疫复活了,5,红,113051,藏尸者的礼物,
1130514,结果变成了食尸鬼,7,红,113051,藏尸者的礼物,
1130515,凄美的故事,9,红,113051,藏尸者的礼物,
1130611,六匹狼,2.1,红,113061,犹根农场,1
1130612,七匹狼卖不掉了吗,4,红,113061,犹根农场,
1130613,炸是狼人不是狼,6,红,113061,犹根农场,
1130614,讲道理一波最多六个怪,9,红,113061,犹根农场,
1130615,犹根农场=有个农场？,10,红,113061,犹根农场,
1130711,这个食人魔有点肥,2.5,红,113071,沃古尔食人魔山,1
1130712,肚子太大了hhh,3,红,113071,沃古尔食人魔山,
1130713,这一锤子好疼,5,红,113071,沃古尔食人魔山,
1130714,很还原啊,7,红,113071,沃古尔食人魔山,
1130715,大块头啊,9,红,113071,沃古尔食人魔山,
1130716,一锤下来火花带闪电，我擦,9.5,红,113071,沃古尔食人魔山,
1130811,没有远程骷髅怪啊,2.7,红,113081,腐草农场,3
1130812,骨弓么,3,红,113081,腐草农场,
1130813,火箭biubiubiu,5,红,113081,腐草农场,
1130821,这小骷髅很性感,2.6,红,113082,腐草农场,
1130822,快去伐木啦,4,红,113082,腐草农场,
1130823,UD都靠你们采木材了,6,红,113082,腐草农场,
1130824,没有刚才的小骷髅好看,9,红,113082,腐草农场,
1130825,不可耐,10,红,113082,腐草农场,
1130831,成群结队在这做什么,2.8,红,113083,腐草农场,
1130832,还组队一起来,3,红,113083,腐草农场,
1130833,联合起来了,5,红,113083,腐草农场,
1130911,乌鸦岭没有乌鸦,2.9,红,113091,乌鸦岭,1
1130912,这儿只有蜘蛛,3,红,113091,乌鸦岭,
1130913,ZSMJ,5,红,113091,乌鸦岭,
1130914,又黑我马甲哥,7,红,113091,乌鸦岭,
1130915,为毛被绿了,9,红,113091,乌鸦岭,
1131011,这boss名字是橙色的,2.4,红,113101,饱经风霜墓碑,1
1131012,是不是比较强,4,红,113101,饱经风霜墓碑,
1131013,卧槽 伤害好高,6,红,113101,饱经风霜墓碑,
1131014,有点变态了吧,9,红,113101,饱经风霜墓碑,
1131015,。。。一刀秒我小黑,10,红,113101,饱经风霜墓碑,
1140111,卡加斯就是断手的那个吧,3.2,红,114011,卡加斯,1
1140112,人家那个叫碎手氏族,3,红,114011,卡加斯,
1140113,欲练神力 自断一臂？,5,红,114011,卡加斯,
1140114,欺负残疾人,7,红,114011,卡加斯,
1140115,可以的,9,红,114011,卡加斯,
1140211,秃鹫秃鹫秃鹫,3.9,红,114021,雾气平原,1
1140212,发条弹幕看看,4,红,114021,雾气平原,
1140213,挥翅膀的动作不一致有点难受,6,红,114021,雾气平原,
1140214,秃鹫很写实,9,红,114021,雾气平原,
1140215,秃鹫不经揍啊,10,红,114021,雾气平原,
1140311,大肚食人魔,1,红,114031,火山洞穴,1
1140312,只有白胖子,3.8,红,114031,火山洞穴,
1140313,没有蓝胖子,5,红,114031,火山洞穴,
1140314,都是一个头的,7,红,114031,火山洞穴,
1140315,锤子砸下来的位子不对,9,红,114031,火山洞穴,
1140411,怎么又是你们,3.7,红,114041,柯什营地,1
1140412,想报仇啊,4,红,114041,柯什营地,
1140413,趴下来的姿势好可爱,6,红,114041,柯什营地,
1140414,这群胖子,9,红,114041,柯什营地,
1140415,这下被打得没脾气了吧,10,红,114041,柯什营地,
1140511,火元素+5矮人,3.5,红,114051,苦痛堡垒,1
1140512,火元素的法术好挫,3,红,114051,苦痛堡垒,
1140513,旋风斩好厉害,5,红,114051,苦痛堡垒,
1140514,扛不住啊,3.4,红,114051,苦痛堡垒,1
1140515,卧槽，厉害,3,红,114051,苦痛堡垒,
1140516,你们好菜，我过了,5,红,114051,苦痛堡垒,
1140611,大shi,3.9,红,114061,铁环挖掘场,1
1140612,矮人比元素高这么多,3,红,114061,铁环挖掘场,
1140613,矮人也会旋风斩,5,红,114061,铁环挖掘场,
1140614,伤害好足啊,7,红,114061,铁环挖掘场,
1140615,现在流行AOE了么,9,红,114061,铁环挖掘场,
1140616,群攻太吊了，要奶啊,5,红,114061,铁环挖掘场,
1140617,这特么的好难杀,7,红,114061,铁环挖掘场,
1140618,悲剧了，这怪太吊,9,红,114061,铁环挖掘场,
1140711,石腭怪事什么东西,3.5,红,114071,阿戈莫德的营地,1
1140712,这是只有一只眼睛吗,4,红,114071,阿戈莫德的营地,
1140713,发如雪,6,红,114071,阿戈莫德的营地,
1140714,好猥琐的老头,9,红,114071,阿戈莫德的营地,
1140715,还会加血，卧槽,10,红,114071,阿戈莫德的营地,
1140716,这老头可以,6,红,114071,阿戈莫德的营地,
1140717,MD，加血1600,9,红,114071,阿戈莫德的营地,
1140718,这群老头是什么物种的,10,红,114071,阿戈莫德的营地,
1140811,居然只有两个,3.4,红,114081,漫尘盆地,3
1140812,可能后面两波多点吧,3,红,114081,漫尘盆地,
1140813,哼哈二将,5,红,114081,漫尘盆地,
1140814,砸地的效果好炫,7,红,114081,漫尘盆地,
1140815,啪啪啪，搞定,9,红,114081,漫尘盆地,
1140821,又来！,3.8,红,114082,漫尘盆地,
1140822,居然还是两个诶,4,红,114082,漫尘盆地,
1140823,不过还是挺疼的,6,红,114082,漫尘盆地,
1140824,继续搞定,9,红,114082,漫尘盆地,
1140825,尴尬,10,红,114082,漫尘盆地,
1140831,前排放肉是对的,3.4,红,114083,漫尘盆地,
1140832,变三个了,3,红,114083,漫尘盆地,
1140833,问题不大,5,红,114083,漫尘盆地,
1140834,能打掉的,7,红,114083,漫尘盆地,
1140835,这些石头哥不免疫魔法么,9,红,114083,漫尘盆地,
1140911,幼龙,3.9,红,114091,莱瑟罗峡谷,1
1140912,一群小黑龙,4,红,114091,莱瑟罗峡谷,
1140913,火球很疼,6,红,114091,莱瑟罗峡谷,
1140914,还好不会别的,9,红,114091,莱瑟罗峡谷,
1140915,火龙为啥这个颜色,10,红,114091,莱瑟罗峡谷,
1141011,这两兄弟看上去就很凶,3.4,红,114101,大地的震颤,1
1141012,好疼,3,红,114101,大地的震颤,
1141013,打不过 我跑了,5,红,114101,大地的震颤,
1141014,没肉扛不住啊,7,红,114101,大地的震颤,
1141015,残血过关,9,红,114101,大地的震颤,
1150111,鳄鱼皮很棒,3.7,红,115011,奈辛瓦里营地（荆棘谷）,1
1150112,这种皮好诡异,4,红,115011,奈辛瓦里营地,
1150113,好饿啊 不打了,6,红,115011,奈辛瓦里营地,
1150114,鳄鱼不甩尾巴么,9,红,115011,奈辛瓦里营地,
1150115,骚年，鳄鱼是保护动物,10,红,115011,奈辛瓦里营地,
1150211,这些龙好强,3.8,红,115021,猎龙,1
1150212,打的就是你,3,红,115021,猎龙,
1150213,大头龙,5,红,115021,猎龙,
1150214,霸王龙吧这个是,7,红,115021,猎龙,
1150215,这个打来剥皮用么,9,红,115021,猎龙,
1150216,一直暴击我，操,3,红,115021,猎龙,
1150217,无限暴击的，我日,5,红,115021,猎龙,
1150218,变态，操,7,红,115021,猎龙,
1150219,我要报警了啊,9,红,115021,猎龙,
1150311,这个老虎好丑,3.7,红,115031,猎虎,1
1150312,爪子为毛会带光的,4,红,115031,猎虎,
1150313,爬爬虎？,6,红,115031,猎虎,
1150314,这都知道,9,红,115031,猎虎,
1150315,这个老虎有表情,10,红,115031,猎虎,
1150316,猥琐的很啊,6,红,115031,猎虎,
1150317,不像是成年虎,9,红,115031,猎虎,
1150318,猎龙完猎虎，我擦,10,红,115031,猎虎,
1150411,猛虎不过如此,3.6,红,115041,猎豹,1
1150412,我觉得应该叫猎猎豹,3,红,115041,猎豹,
1150413,puma,5,红,115041,猎豹,
1150414,我老板开的猎豹,7,红,115041,猎豹,
1150415,你们打得轻松吗,9,红,115041,猎豹,
1150416,为毛皮肤这个颜色,5,红,115041,猎豹,
1150417,又是暴击我日,7,红,115041,猎豹,
1150418,啧啧啧，没有那个龙暴击厉害,9,红,115041,猎豹,
1150511,猎人在哪里,3.5,红,115051,虎王邦加拉什,1
1150512,这个我抓过,4,红,115051,虎王邦加拉什,
1150513,白老虎,6,红,115051,虎王邦加拉什,
1150514,确实好看,9,红,115051,虎王邦加拉什,
1150515,挺多人去蹲啊,10,红,115051,虎王邦加拉什,
1150516,气势不够,6,红,115051,虎王邦加拉什,
1150517,是有点肉,9,红,115051,虎王邦加拉什,
1150518,这个虎王有点强,10,红,115051,虎王邦加拉什,
1150519,指挥官先干虎王啊,9,红,115051,虎王邦加拉什,
1150520,过了,10,红,115051,虎王邦加拉什,
1150611,操，这个祭祀奶的很凶啊,3.2,红,115061,祖玛维废墟,1
1150612,哈卡的走狗好多,3,红,115061,祖玛维废墟,
1150613,我要刷zug,5,红,115061,祖玛维废墟,
1150614,我的老虎没刷到啊,7,红,115061,祖玛维废墟,
1150615,我有老虎没有龙,9,红,115061,祖玛维废墟,
1150616,小匕首砍人好疼,5,红,115061,祖玛维废墟,
1150617,对面奶的有点变态啊,7,红,115061,祖玛维废墟,
1150618,先干奶,9,红,115061,祖玛维废墟,
1150711,青蛙头,3.5,红,115071,水晶矿洞,1
1150712,鳄鱼身,4,红,115071,水晶矿洞,
1150713,拼成一个大蜥蜴,6,红,115071,水晶矿洞,
1150714,鳄鱼他弟弟么,9,红,115071,水晶矿洞,
1150715,鳄鱼妹妹好吧,10,红,115071,水晶矿洞,
1150716,后期的怪物暴击好高啊,6,红,115071,水晶矿洞,
1150717,眼睛很可爱，手段很残忍啊,9,红,115071,水晶矿洞,
1150718,凶残,10,红,115071,水晶矿洞,
1150811,鱼人永不败,3.4,红,115081,纳克迈尼圣泉,3
1150812,大鱼人,3,红,115081,纳克迈尼圣泉,
1150813,这么硬,5,红,115081,纳克迈尼圣泉,
1150814,DOTA里鱼人就这鸟样,7,红,115081,纳克迈尼圣泉,
1150815,第一波就很猛啊,9,红,115081,纳克迈尼圣泉,
1150821,娜迦没武器,3.6,红,115082,纳克迈尼圣泉,
1150822,打不过了,4,红,115082,纳克迈尼圣泉,
1150823,我靠，闪电链,6,红,115082,纳克迈尼圣泉,
1150824,娜迦会闪电了，卧槽,9,红,115082,纳克迈尼圣泉,
1150825,群攻太强了，日,10,红,115082,纳克迈尼圣泉,
1150831,男女混打,3.5,红,115083,纳克迈尼圣泉,
1150832,我可以赢,3,红,115083,纳克迈尼圣泉,
1150833,鱼人还是狡猾啊,5,红,115083,纳克迈尼圣泉,
1150834,先打谁啊,7,红,115083,纳克迈尼圣泉,
1150835,终于看到希望了,9,红,115083,纳克迈尼圣泉,
1150911,强盗窝,3.8,红,115091,血帆海岸,1
1150912,交错站位,4,红,115091,血帆海岸,
1150913,阿姨的怒火,6,红,115091,血帆海岸,
1150914,阿姨比叔叔打人疼,9,红,115091,血帆海岸,
1150915,他们开party么,10,红,115091,血帆海岸,
1150916,他们为何带口罩,6,红,115091,血帆海岸,
1150917,虐了他们千百遍,9,红,115091,血帆海岸,
1150918,这些怪物招不到的吧?,10,红,115091,血帆海岸,
1151011,这个大猩猩有点大,3.4,红,115101,瓶中信,1
1151012,一身通红啊,3,红,115101,瓶中信,
1151013,还透明的,5,红,115101,瓶中信,
1151014,野蛮冲撞卧槽,7,红,115101,瓶中信,
1151015,刚才那个玩传奇的菜逼,8,红,115101,瓶中信,
1151016,好强的猩猩,9,红,115101,瓶中信,
1151017,揍扁他,8,红,115101,瓶中信,
1151018,还好前排比较肉,9,红,115101,瓶中信,
1160111,谜团,3.6,红,116011,热影废墟（沙漠）,1
1160112,这家伙挺萌的,4,红,116011,热影废墟,
1160113,攻击动作好狠,6,红,116011,热影废墟,
1160114,为毛这个家伙会打两次,9,红,116011,热影废墟,
1160115,尼玛，连击啊,10,红,116011,热影废墟,
1160116,打3个相当于打6个啊，擦,6,红,116011,热影废墟,
1160117,他们为毛一直格挡啊，日,9,红,116011,热影废墟,
1160118,还会沉默，谢特，跪了,10,红,116011,热影废墟,
1160211,他们输出怎么越来越高了，卧槽,2.5,红,116021,热砂港,1
1160212,要跪了，尼玛,3,红,116021,热砂港,
1160213,这些怪物在之前的地图好菜,5,红,116021,热砂港,
1160214,要命，报警了啊,7,红,116021,热砂港,
1160215,玩你妹，这么凶,9,红,116021,热砂港,
