Table:CsvHeroSkill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tid,name:s,pro:s,icon:s,desc:s,attackType:AttackType,isNormal:b,isNuqi:b,requireNuqi,EtargetOrder:SkillTargetSelOrder,MtargetOrder:SkillTargetSelOrder,EtargetFilter:SkillTargetFilter,MtargetFilter:SkillTargetFilter,EselNum,MselNum,extraAttack,extraSameActor:b,EextraOrder:SkillTargetSelOrder,MextraOrder:SkillTargetSelOrder,EextraFilter:SkillTargetFilter,MextraFilter:SkillTargetFilter,noMotion4ExtraAttack:b,noEffect4ExtraAttack:b,sameAim4ExtraAttack:b,extraAttackDelay:a,buffTIDs:a,attackMotion,attackEffectTid:a,hurtEffectTid,hurtEffectTidOnMy,bloodNumDelayOnRecover:b,hurtUIEffectTid,shakeScreen:a,dodgeTime,specialEffectTids:s,skillFactor1,skillFactor2,skillFactor3,skillFactor4,skillFactor5,skillFactor6,skillFactor7,skillFactor8,skillFactor9,skillFactor10,skillFactor11,skillFactor12,active_skill_buff:s,para1:a,nuqi_effect,r_nuqi_effect,ignore_buffs:a
10201,烧尽Ⅱ,,SkillIcons/shaojin,对敌方一列目标造成163%的法术伤害，如果敌方正处于燃烧状态则额外造成20%的伤害,法术,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一列,活的,2,0,,,对位并且前排优先,对位并且前排优先,第一个活的那一列,活的,,,,,,1,"10271,10272",10273,,,,,,,16300,14100,,,,,,,,,,,BurnOut,2000,30001,30002,
#,战争践踏Ⅱ,,SkillIcons/linshiziyuan_01,,,,是,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30001,30002,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10231,翼龙钉刺Ⅱ,,SkillIcons/yilongdingci,对敌方后排单体造成226%的物理伤害，并有60%的几率使其眩晕,物理,,是,100,对位并且后排优先,对位并且后排优先,活的,活的,1,0,,,对位并且后排优先,对位并且后排优先,活的,活的,,,,,"30029,",1,20552,20553,,,,,,AttackMotionA:20551,22680,,,,,,,,,,,,,,30001,30002,
10241,旋风斩Ⅱ,黑铁矮人男，黑手,SkillIcons/xuanfengzhan,对敌方全部目标造成81%的物理伤害,物理,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,,2,52,,,,,,,,8100,8100,8100,8100,8100,8100,,,,,,,,,30001,30002,
10251,酸性吐息Ⅱ,伊兰尼库斯,SkillIcons/linshiziyuan_04,对敌方全部目标造成67%的法术伤害，并有33%的几率附加中毒状态两回合,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"30057,",2,"70,71,72",,,,,,,,6720,6720,6720,6720,6720,6720,,,,,,,,,30001,30002,
10261,喝药Ⅱ,鱼人,SkillIcons/linshiziyuan_01,治疗自身相当于攻击力113%的生命值,法术,,是,100,对位并且前排优先,对位并且前排优先,攻击者自己,攻击者自己,1,0,,,对位并且前排优先,对位并且前排优先,攻击者自己,攻击者自己,,,,,,2,78,,,,,,,,,,,,,,11340,,,,,,,,30001,30002,
10271,杀戮命令Ⅱ,驯犬者,SkillIcons/shalumingling,优先攻击敌方后排全体单位，造成124%的物理伤害,物理,,是,100,对位并且后排优先,对位并且后排优先,第一个活的那一排,第一个活的那一排,3,0,,,对位并且后排优先,对位并且后排优先,第一个活的那一排,第一个活的那一排,,,,,,2,20645,91,,,,,,AttackEnd:20646,12420,12420,12420,,,,,,,,,,,,30001,30002,
10281,神圣风暴Ⅱ,血色指挥官,SkillIcons/shenshengfengbao,对敌方一排目标造成94%的物理伤害，并为除自己外的其他己方英雄恢复相当于攻击力15%的生命值,物理,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一排,除攻击者,3,6,,,对位并且前排优先,对位并且前排优先,第一个活的那一排,除攻击者,,,,,,2,62,,55,是,,,,,9396,9396,9396,,,,1458,1458,1458,1458,1458,,,,30001,30002,
10291,剔骨Ⅱ,刺客、梵妮莎大范,SkillIcons/tigu,对敌方单体目标造成238%的物理伤害,物理,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,,1,,20582,,,,,,AttackMotionA:20581,23760,,,,,,,,,,,,,,30001,30002,
10301,法力燃烧Ⅱ,地狱犬,SkillIcons/linshiziyuan_02,对敌方单体目标造成224%的法术伤害，并降低50点怒气,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"30001,",2,"30,33,37",31,,,,,,AttackMotionA:29,22356,,,,,,,,,,,,,,30001,30002,
10311,雷霆一击加强版Ⅱ,霍格,SkillIcons/linshiziyuan_01,对敌方全体目标造成78%的物理伤害，并有35%的几率使其眩晕,物理,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一排,活的,6,0,,,对位并且前排优先,对位并且前排优先,第一个活的那一排,活的,,,,,"30006,",1,21,,,,,,,,7776,7776,7776,7776,7776,7776,,,,,,,,,30001,30002,
10321,群体变形术Ⅱ,影牙堡主,SkillIcons/bianxingshu,将所有敌人变形4回合,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"20002,20003,",1,14,15,,,,,,,,,,,,,,,,,,,,,30001,30002,
10331,治疗祷言Ⅱ,艾茉拉铜须,SkillIcons/zhiliaodaoyan,治疗己方全体英雄相当于攻击力 37%的生命值,法术,,是,100,按血量从低到高,按血量从低到高,活的,活的,0,6,,,按血量从低到高,按血量从低到高,活的,活的,,,,,,1,20373,,55,,,,,AttackMotionA2:20372,,,,,,,3672,3672,3672,3672,3672,3672,,,30001,30002,
10341,生命虹吸Ⅱ,暮光首领,SkillIcons/shengminghongxi,对敌方单体目标造成224%的法术伤害，并恢复伤害值100%的生命值,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"30024,",,,,,,,,,,22356,,,,,,,,,,,,,,30001,30002,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10361,心灵震爆Ⅱ,巫医、大主教,SkillIcons/xinlingzhenbao,对敌方单体目标造成216%的法术伤害，并有70%的几率使其沉默,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"30025,",2,20642,20643,,,,"20,20,0,10,10",,AttackMotionA:20641,21600,,,,,,,,,,,,,,30001,30002,
10371,吸取生命Ⅱ,暮光首领、黑暗院长,SkillIcons/xiqushengming,对敌方造成54%的法术伤害，并恢复伤害值100%的生命值，攻击3次,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,2,是,对位并且前排优先,对位并且前排优先,活的,活的,是,是,是,"150, 150","30024,",2,"20591,20592",20593,,,,,,,5400,,,,,,,,,,,,,,30001,30002,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10391,天灾打击Ⅱ,摩拉迪姆,SkillIcons/tianzaidaji,对敌方单体目标造成248%的物理伤害,物理,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,,1,20373,,,,,,,,24840,,,,,,,,,,,,,,30001,30002,
10401,威慑Ⅱ,乌克兹沙顶、沃金,SkillIcons/weishe,在一回合内提升45%格挡、45%抵抗以及22%闪避，并给两边的同伴加25怒气,物理,,是,100,按位置小到大,按位置小到大,攻击者自己,攻击者自己,0,1,,,按位置小到大,按位置小到大,攻击者自己,攻击者自己,,,,,"30054,30055,30023,30031,",1,20601,,,,,,,,,,,,,,,,,,,,,,30001,30002,
10411,小群体变形术Ⅱ,阿鲁高,SkillIcons/linshiziyuan_01,将所有敌人变形2回合,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"20040,20041,",1,14,15,,,,,,,,,,,,,,,,,,,,,30001,30002,
10421,冲锋Ⅱ,豺狼人、凯恩血蹄,SkillIcons/chongfeng,"攻击敌方血量最多的目标,对其造成226%的物理伤害，并有60%的几率使其眩晕",物理,,是,100,按血量从高到低,按血量从高到低,活的,活的,1,0,,,按血量从高到低,按血量从高到低,活的,活的,,,,,"30019,",2,,20632,,,,,,Run2Target:20631,22680,,,,,,,,,,,,,,30001,30002,
10431,飓风Ⅱ,塞纳留斯、被诅咒的塞雷布拉斯,SkillIcons/jufeng,对敌方全部目标造成3波27%的法术伤害，并有50%的几率降低怒气25点,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,2,是,对位并且前排优先,对位并且前排优先,活的,活的,是,,,"500, 500","30016,",2,,,,,,,,AttackMotionA:20671;AttackMotionA2:20672;AttackMotionA3:20673,2700,2700,2700,2700,2700,2700,,,,,,,,,30001,30002,
#,痛苦诅咒Ⅱ,黑暗院长加丁、寇加尔,SkillIcons/tongkuzuzhou,对当前目标和其他随机两个目标造成115%的法术伤害，并有63%的几率使其中毒,法术,,是,100,第一个对位前排后面随机,第一个对位前排后面随机,活的,活的,3,0,,,随机,随机,活的,活的,是,,,,"30056,",2,20721,20722,,,,,,,11550,11550,11550,,,,,,,,,,,,30001,30002,
10451,霍格冲锋Ⅱ,豺狼人、凯恩血蹄,SkillIcons/chongfeng,对敌方血量最多的一个目标造成224%的物理伤害，并使其眩晕,物理,,是,100,按血量从高到低,按血量从高到低,活的,活的,1,0,,,按血量从高到低,按血量从高到低,活的,活的,,,,,"30032,",2,,20632,,,,,,Run2Target:20631,22356,,,,,,,,,,,,,,30001,30002,
10461,死亡缠绕Ⅱ,天灾战士,SkillIcons/shengliaoshu,对敌方血量最少的一个目标造成216%的物理伤害,物理,,是,100,按血量从低到高,按血量从低到高,活的,活的,1,0,,,按血量从低到高,按血量从低到高,活的,活的,,,,,,2,9,10,,,,"20,20,0,1,1",,,21600,,,,,,,,,,,,,,30001,30002,
10471,圣疗术Ⅱ,,SkillIcons/shengliaoshu,治疗己方生命值最低的英雄相当于攻击力113%的生命值,法术,,是,100,按血量从低到高,按血量从低到高,活的,活的,0,1,,,按血量从低到高,按血量从低到高,活的,活的,,,,,,1,73,,74,,,,,,,,,,,,11340,,,,,,,,30001,30002,
10481,腐臭蜂群Ⅱ,,SkillIcons/fuchoufengqun,对敌方一排目标造成126%的法术伤害，并降低其10%的攻击，持续两回合,法术,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一排,活的,3,,,,对位并且前排优先,对位并且前排优先,第一个活的那一排,活的,,,,,"30017,",1,10241,,,,,,,,12636,12636,12636,,,,,,,,,,,,30001,30002,
10491,血液沸腾Ⅱ,塔隆血魔,SkillIcons/xueyefeiteng,对敌方全部目标造成81%的物理伤害,物理,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,,2,,,,,,,,,8100,8100,8100,8100,8100,8100,,,,,,,,,30001,30002,
10501,致死打击Ⅱ,战士,SkillIcons/zhisidaji_01,对敌方单体目标造成224%的物理伤害，并降低其受到治疗量35%，持续四回合,物理,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"10164,10165,",1,10291,10292,,,,"20,20,0,1,1",,,22356,,,,,,,,,,,,,,30001,30002,
10511,破甲攻击Ⅱ,战士,SkillIcons/pojiagongji_01,对敌方单体目标造成224%的物理伤害，并降低其10%的护甲，持续四回合,物理,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"10166,10167,",1,10201,10202,,,,"20,20,0,1,1",,,22356,,,,,,,,,,,,,,30001,30002,
10521,凛风冲击 Ⅱ,死亡骑士,SkillIcons/linshiziyuan_02,对敌方全部目标造成78%的物理伤害，并冰冻两回合,物理,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,30049,2,20902,,,,,,,AttackMotionA:20901,7776,7776,7776,7776,7776,7776,,,,,,,,,30001,30002,
10531,凶猛撕咬Ⅱ,德鲁伊,SkillIcons/siyao,对敌方随机单体目标造成226%的物理伤害，并有70%几率缴械2回合,物理,,是,100,随机,随机,活的,活的,1,0,,,随机,随机,活的,活的,,,,,30050,1,,,,,,,,,22680,,,,,,,,,,,,,,30001,30002,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#蓝紫英雄怒气技能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,剑刃乱舞,大范2,SkillIcons/jianrenluanwu,对敌方单体目标造成88%的物理伤害，攻击3次,物理,,是,100,随机,随机,活的,活的,1,0,2,是,随机,随机,活的,活的,,,,,,2,,8,,,,,,,8800,8800,8800,,,,,,,,,,,,30001,30002,
30020,风暴之锤,山丘之王,SkillIcons/fengbaozhichui,对敌方一排目标造成105%的物理伤害并有20%的几率造成眩晕,物理,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一排,活的,3,0,,,对位并且前排优先,对位并且前排优先,第一个活的那一排,活的,,,,,"30008,",2,6,7,,,,"20,20,0,10,10",,,10530,10530,10530,,,,,,,,,,,,30001,30002,
30030,宁静,月之女祭司,SkillIcons/ningjing,引导技能，治疗己方全体相当于攻击力10%的生命值，持续3次,法术,,是,100,按血量从低到高,按血量从低到高,活的,活的,0,6,2,是,按血量从低到高,按血量从低到高,活的,活的,是,,,,,2,4,,,,,,,,,,,,,,1026,1026,1026,1026,1026,1026,,,30001,30002,
30040,烧尽,基丹,SkillIcons/shaojin,对敌方一列目标造成122%的法术伤害，并有50%的几率附加燃烧状态两回合,法术,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一列,活的,2,0,,,对位并且前排优先,对位并且前排优先,第一个活的那一列,活的,,,,,"30011,",1,"10271,10272",10273,,,,,,,12240,10800,,,,,,,,,,,,,30001,30002,
30050,烈焰风暴,逐日者,SkillIcons/lieyanfengbao,对敌方全体目标造成51%的法术伤害，并有30%的几率附加燃烧状态两回合,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"30012,",2,1008,,,,,,,AttackMotionA:1007,5120,5120,5120,5120,5120,5120,,,,,,,,,30001,30002,
30060,神圣新星,大检察官,SkillIcons/shenshengxinxing,对敌方全体目标造成33%的法术伤害，治疗己方全体相当于攻击力15%的生命值,法术,,是,100,按血量从低到高,按血量从低到高,活的,活的,6,6,,,按血量从低到高,按血量从低到高,活的,活的,,,,,,2,53,56,55,,,,,AttackMotionA:54,3375,3375,3375,3375,3375,3375,1530,1530,1530,1530,1530,1530,,,30001,30002,
30070,圣盾术,大帝,SkillIcons/shengdunshu,为自己添加无敌效果一回合（至多抵挡2次伤害），并驱散身上所有debuff,物理,,是,100,对位并且前排优先,对位并且前排优先,攻击者自己,攻击者自己,0,1,,,对位并且前排优先,对位并且前排优先,攻击者自己,攻击者自己,,,,,"30028,30009,",2,,,,,,,,AttackMotionA2:48,,,,,,,,,,,,,,,30001,30002,
30080,治疗链,天灾首领,SkillIcons/zhiliaolian,治疗己方生命值最低英雄相当于攻击力52%的生命值，并会随机延展到其他2个英雄身上，每次效果下降,法术,,是,100,按血量从低到高,按血量从低到高,活的,活的,0,1,2,否,随机,随机,活的,活的,是,,,,,1,20322,,20323,,,,,AttackMotionA:20321,,,,,,,5220,4770,4050,,,,,,30001,30002,
30090,风暴打击,霜狼督军,SkillIcons/fengbaodaji,对敌方一列目标造成153%的物理伤害,物理,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一列,活的,3,0,,,对位并且前排优先,对位并且前排优先,第一个活的那一列,活的,,,,,,1,83,84,,,,"20,20,0,15,10",,,15300,13500,,,,,,,,,,,,,30001,30002,
30100,放气,瑟莱德丝公主,SkillIcons/linshiziyuan_02,对敌方全部目标造成67%的法术伤害,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,,2,60,61,,,,,,,6750,6750,6750,6750,6750,6750,,,,,,,,,30001,30002,
30110,刀扇,守望者,SkillIcons/daoshan,对敌方一排目标造成105%的物理伤害，并有50%的几率降低25点怒气,物理,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一排,活的,3,0,,,对位并且前排优先,对位并且前排优先,第一个活的那一排,活的,,,,,"30016,",2,10301,,,,,,,,10530,10530,10530,,,,,,,,,,,,30001,30002,
30120,伏击,刺客,SkillIcons/fuji,对敌方单体目标造成207%的物理伤害,物理,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,,1,,,,,,"20,20,0,10,10",,,20700,,,,,,,,,,,,,,30001,30002,
30130,治疗之环,神仙姐姐,SkillIcons/zhiliaozhihuan,治疗己方生命值最低的三个英雄相当于攻击力47%的生命值,法术,,是,100,按血量从低到高,按血量从低到高,活的,活的,0,3,,,按血量从低到高,按血量从低到高,活的,活的,,,,,,1,,,,,,,,,,,,,,,4770,4770,4770,,,,,,30001,30002,
30140,#,冰锥术,SkillIcons/bingzhuishu,对敌方一列目标造成153%的法术伤害,法术,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一列,活的,2,0,,,对位并且前排优先,对位并且前排优先,第一个活的那一列,活的,,,,,,1,"42,43",44,,,,,500,AttackMotionA:43,15300,13500,,,,,,,,,,,,,30001,30002,
30150,圣疗术,,SkillIcons/shengliaoshu,为己方一个英雄恢复相当于攻击力94%的生命值,法术,,是,100,按血量从低到高,按血量从低到高,活的,活的,0,1,,,按血量从低到高,按血量从低到高,活的,活的,,,,,,2,73,,74,,,,,,,,,,,,9450,,,,,,,,30001,30002,
#,噬灵瘟疫,,SkillIcons/linshiziyuan_04,,,,是,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30001,30002,
30170,奥术飞弹,大法师,SkillIcons/aoshufeidan,对敌方单体目标造成99%的法术伤害，攻击3次,法术,,是,100,随机,随机,活的,活的,1,0,2,是,随机,随机,活的,活的,是,,,,,2,20663,20664,,,,,,AttackMotionA:20661;AttackMotionA2:20662,9900,9900,9900,,,,,,,,,,,,30001,30002,
30180,暴风雪,克总,SkillIcons/baofengxue,对敌方全体造成3波21%的法术伤害,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,2,是,对位并且前排优先,对位并且前排优先,活的,活的,是,,,"250, 700",,2,,,,,,,,AttackMotionA2:2,2160,2160,2160,2160,2160,2160,,,,,,,,,30001,30002,
30190,闪电链,萨尔,SkillIcons/shandianlian,对敌方随机目标造成99%的法术伤害，并延展到其他3个随机目标身上，每次效果下降,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,3,否,随机,随机,活的,活的,是,,,,,1,20652,20653,,,,,,AttackMotionA:20651,9900,9000,8100,7200,,,,,,,,,,,30001,30002,
30200,烧尽,,SkillIcons/shaojin,对敌方一列目标造成137%的法术伤害，如果敌方正处于燃烧状态则额外造成20%的伤害,法术,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一列,活的,2,0,,,对位并且前排优先,对位并且前排优先,第一个活的那一列,活的,,,,,,1,"10271,10272",10273,,,,,,,13770,11970,,,,,,,,,,,BurnOut,2000,30001,30002,
#,战争践踏,,SkillIcons/linshiziyuan_01,,,,是,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30001,30002,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30230,翼龙钉刺,,SkillIcons/yilongdingci,对敌方后排单体造成189%的物理伤害，并有60%的几率使其眩晕,物理,,是,100,对位并且后排优先,对位并且后排优先,活的,活的,1,0,,,对位并且后排优先,对位并且后排优先,活的,活的,,,,,"30029,",1,20552,20553,,,,,,AttackMotionA:20551,18900,,,,,,,,,,,,,,30001,30002,
30240,旋风斩,黑铁矮人男，黑手,SkillIcons/xuanfengzhan,对敌方全部目标造成60%的物理伤害,物理,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,,2,52,,,,,,,,6000,6000,6000,6000,6000,6000,,,,,,,,,30001,30002,
30250,酸性吐息,伊兰尼库斯,SkillIcons/linshiziyuan_04,对敌方全部目标造成57%的法术伤害，并有30%的几率附加中毒状态两回合,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"30015,",2,"70,71,72",,,,,,,,5760,5760,5760,5760,5760,5760,,,,,,,,,30001,30002,
30260,喝药,鱼人,SkillIcons/linshiziyuan_01,治疗自身相当于攻击力94%的生命值,法术,,是,100,对位并且前排优先,对位并且前排优先,攻击者自己,攻击者自己,1,0,,,对位并且前排优先,对位并且前排优先,攻击者自己,攻击者自己,,,,,,2,78,,,,,,,,,,,,,,9450,,,,,,,,30001,30002,
30270,杀戮命令,驯犬者,SkillIcons/shalumingling,优先攻击敌方后排全体单位，造成103%的物理伤害,物理,,是,100,对位并且后排优先,对位并且后排优先,第一个活的那一排,第一个活的那一排,3,0,,,对位并且后排优先,对位并且后排优先,第一个活的那一排,第一个活的那一排,,,,,,2,20645,91,,,,,,AttackEnd:20646,10350,10350,10350,,,,,,,,,,,,30001,30002,
30280,神圣风暴,血色指挥官,SkillIcons/shenshengfengbao,对敌方一排目标造成78%的物理伤害，并为除自己外的其他己方英雄恢复相当于攻击力12%的生命值,物理,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一排,除攻击者,3,6,,,对位并且前排优先,对位并且前排优先,第一个活的那一排,除攻击者,,,,,,2,62,,55,是,,,,,7830,7830,7830,,,,1215,1215,1215,1215,1215,,,,30001,30002,
30290,剔骨,刺客、梵妮莎大范,SkillIcons/tigu,对敌方单体目标造成198%的物理伤害,物理,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,,1,,20582,,,,,,AttackMotionA:20581,19800,,,,,,,,,,,,,,30001,30002,
30300,法力燃烧,地狱犬,SkillIcons/linshiziyuan_02,对敌方单体目标造成186%的法术伤害，并降低50点怒气,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"30001,",2,"30,33,37",31,,,,,,AttackMotionA:29,18630,,,,,,,,,,,,,,30001,30002,
30310,雷霆一击加强版,霍格,SkillIcons/linshiziyuan_01,对敌方全体目标造成64%的物理伤害，并有35%的几率使其眩晕,物理,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一排,活的,6,0,,,对位并且前排优先,对位并且前排优先,第一个活的那一排,活的,,,,,"30006,",1,21,,,,,,,,6480,6480,6480,6480,6480,6480,,,,,,,,,30001,30002,
30320,群体变形术,影牙堡主,SkillIcons/bianxingshu,将所有敌人变形4回合,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"20002,20003,",1,14,15,,,,,,,,,,,,,,,,,,,,,30001,30002,
30330,治疗祷言,艾茉拉铜须,SkillIcons/zhiliaodaoyan,治疗己方全体英雄相当于攻击力 30%的生命值,法术,,是,100,按血量从低到高,按血量从低到高,活的,活的,0,6,,,按血量从低到高,按血量从低到高,活的,活的,,,,,,1,20373,,55,,,,,AttackMotionA2:20372,,,,,,,3060,3060,3060,3060,3060,3060,,,30001,30002,
30340,生命虹吸,暮光首领,SkillIcons/shengminghongxi,对敌方单体目标造成186%的法术伤害，并恢复伤害值100%的生命值,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"30024,",,,,,,,,,,18630,,,,,,,,,,,,,,30001,30002,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30360,心灵震爆,巫医、大主教,SkillIcons/xinlingzhenbao,对敌方单体目标造成180%的法术伤害，并有70%的几率使其沉默,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"30025,",2,20642,20643,,,,"20,20,0,10,10",,AttackMotionA:20641,18000,,,,,,,,,,,,,,30001,30002,
30370,吸取生命,暮光首领、黑暗院长,SkillIcons/xiqushengming,对敌方造成45%的法术伤害，并恢复伤害值100%的生命值，攻击3次,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,2,是,对位并且前排优先,对位并且前排优先,活的,活的,是,是,是,"150, 150","30024,",2,"20591,20592",20593,,,,,,,4500,,,,,,,,,,,,,,30001,30002,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30390,天灾打击,摩拉迪姆,SkillIcons/tianzaidaji,对敌方单体目标造成207%的物理伤害,物理,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,,1,20373,,,,,,,,20700,,,,,,,,,,,,,,30001,30002,
30400,威慑,乌克兹沙顶、沃金,SkillIcons/weishe,在一回合内提升45%格挡、45%抵抗以及22%闪避，并给两边的同伴加25怒气,物理,,是,100,按位置小到大,按位置小到大,攻击者自己,攻击者自己,0,1,,,按位置小到大,按位置小到大,攻击者自己,攻击者自己,,,,,"30021,30022,30023,30031",2,20601,,,,,,,,,,,,,,,,,,,,,,30001,30002,
30410,小群体变形术,阿鲁高,SkillIcons/linshiziyuan_01,将所有敌人变形2回合,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"20040,20041,",1,14,15,,,,,,,,,,,,,,,,,,,,,30001,30002,
30420,冲锋,豺狼人、凯恩血蹄,SkillIcons/chongfeng,"攻击敌方血量最多的目标,对其造成168%的物理伤害，并有60%的几率使其眩晕",物理,,是,100,按血量从高到低,按血量从高到低,活的,活的,1,0,,,按血量从高到低,按血量从高到低,活的,活的,,,,,"30019,",2,,20632,,,,,,Run2Target:20631,16800,,,,,,,,,,,,,,30001,30002,
30430,飓风,塞纳留斯、被诅咒的塞雷布拉斯,SkillIcons/jufeng,对敌方全部目标造成3波20%的法术伤害，并有50%扣怒气25点,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,2,是,对位并且前排优先,对位并且前排优先,活的,活的,是,,,"500, 500","30016,",2,,,,,,,,AttackMotionA:20671;AttackMotionA2:20672;AttackMotionA3:20673,2000,2000,2000,2000,2000,2000,,,,,,,,,30001,30002,
30440,痛苦诅咒,黑暗院长加丁、寇加尔,SkillIcons/tongkuzuzhou,对当前目标和其他随机两个目标造成99%的法术伤害，并有60%的几率使其中毒,法术,,是,100,第一个对位前排后面随机,第一个对位前排后面随机,活的,活的,3,0,,,随机,随机,活的,活的,是,,,,"30013,",2,20721,20722,,,,,,,9900,9900,9900,,,,,,,,,,,,30001,30002,
