Table:CsvBuff,,,,,,,,,,,,,,,,,,,,,,,,,,
tid,name:s,type:BuffType,desc:s,icon:s,i#__固定加成__,attr1:AttrType,attr1_p,attr1_v,attr2:AttrType,attr2_p,attr2_v,attr3:AttrType,attr3_p,attr3_v,i#__special_effect__,result1:s,para1:a,s#para1_desc,cover_buffs:a,add_effect_tids:a,rem_effect_tids:a,a#__other_params__,commanderGiftLevel,preBuffTid,canUseWhenlDead:b,i#rate
10148,免疫破攻、沉默效果,英雄天赋,免疫破攻、沉默效果,,,,,,,,,,,,,ps_rejectBuff,"30017,30025,30041,",免疫buff id列表,,,,,,,,
10149,免疫破攻、缴械效果,英雄天赋,免疫破攻、缴械效果,,,,,,,,,,,,,ps_rejectBuff,"30017,30035,30043",免疫buff id列表,,,,,,,,
10150,重击,英雄天赋,普通攻击有5%概率造成对方眩晕一回合,Icon/tianfushu_01,,,,,,,,,,,,ps_addBuffOnNormalAttack,"500,100671,1",眩晕概率，几回合,,,,,,,,
10151,圣光道标,英雄天赋,你的怒气技能会扩散给所有己方其他英雄，每位英雄获得主目标10%的治疗效果,Icon/tianfushu_01,,,,,,,,,,,,ps_BeaconOfLight,"1000,2",恢复万分比，1表示只有普通攻击起效，2表示技能攻击，3表示两者都起效,,,,,,,,
10152,王者祝福,英雄天赋,提升所有英雄的力量、智力、耐力和敏捷,Icon/tianfushu_01,,,,,,,,,,,,ps_addAttr,"10,1000,10,1000,10,1000,10,1000",,,,,,,,,
10153,血量+10%,英雄天赋,血量+10%,Icon/tianfushu_01,,血量,1000,,,,,,,,,,,,,,,,,,,
10154,风怒,英雄天赋,普通攻击时，有几率再次攻击一次。,Icon/tianfushu_01,,,,,,,,,,,,ps_windfury,"10000,",概率,,,,,,,,
10155,普通攻击有几率对敌方造成中毒,英雄天赋,普通攻击有几率对敌方造成中毒,Icon/tianfushu_01,,,,,,,,,,,,ps_addBuffOnNormalAttack,"2500,101551,1",,,,,,,,,
10156,力量祝福,英雄天赋,提升我方所有英雄（5%*英雄自身力量+5）点力量,Icon/tianfushu_01,,,,,,,,,,,,ps_addAttr,"5,500,0,0,0,0,0,0",力量点数，力量万分比，智力点数，智力万分比，敏捷点数，敏捷万分比，耐力点数，耐力万分比,,,,,,,,
10157,恶魔Ⅱ,英雄天赋,格挡和抵抗增加15%，物理免伤+5%，免疫沉默效果,Icon/emo_01,,格挡,1500,,抵抗,1500,,X4法术,500,,,ps_rejectBuff,"30025,30041,",免疫buff id列表,"10016,",,,,,,,
10158,伤残恐惧,英雄天赋,普通技能和怒气技能有15%的几率附带沉默效果,Icon/tianfushu_01,,,,,,,,,,,,ps_addBuffOnNormalAttack,"1500,30025,3",,,,,,,,,
10159,吸血光环,英雄天赋,提升自身8%的吸血效果，并提升其他所有英雄4%的吸血效果,Icon/tianfushu_01,,,,,,,,,,,,ps_AddBuffToTeam,"30037,30036",,,,,,,,,
10160,野性印记,英雄天赋,提升所有英雄的力量、智力、耐力和敏捷,Icon/tianfushu_01,,,,,,,,,,,,ps_addAttr,"2,100,2,100,2,100,2,100,",力量点数，力量万分比，智力点数，智力万分比，敏捷点数，敏捷万分比，耐力点数，耐力万分比,,,,,,,,
10161,逃脱,英雄天赋,血量+1600，受到攻击时有12%的几率使敌人缴械两回合（缴械：普通攻击伤害为1）,Icon/tianfushu_01,,血量,,1600,,,,,,,,ps_duckOut,"30035,1200,3",,,,,,,,,
10162,庇护,英雄天赋,受到的所有伤害降低8%，闪避+5%，并免疫降低怒气,Icon/tianfushu_01,,闪避,500,,X4,800,,,,,,ps_rejectBuff,"30001,30039,30044,30016,30030,",,,,,,,,,
10163,吸血鬼之血,英雄天赋,血量增加10%+1000点，受治疗效果增加10%，免疫致死打击效果,Icon/tianfushu_01,,血量,1000,1000,受治疗效果,1000,,,,,,ps_rejectBuff,"40003,41001,10165,10164",免疫buff id列表,,,,,,,,
10164,致死打击,英雄天赋,致死打击 降低被攻击者受治疗效果,,,,,,,,,,,,,ps_addOneHeroAp1ByRound,"4,24,-3500,","回合数, AttrType, 增加几点",,,,,,,,100
10165,致死打击,英雄天赋,致死打击 降低被攻击者受治疗效果,,,,,,,,,,,,,ps_addOneHeroAp1ByRound,"4,22,-3500,","回合数, AttrType, 增加几点",,,,,,,,100
10166,破甲,英雄天赋,破甲 降低防御,,,,,,,,,,,,,ps_addOneHeroAp1ByRound,"4,37,-1000,","回合数, AttrType, 万分比",,,,,,,,100
10167,破甲,英雄天赋,破甲 降低防御,,,,,,,,,,,,,ps_addOneHeroAiByRound,"4,37,-200,","回合数, AttrType, 绝对值",,,,,,,,100
10168,攻击+370,英雄天赋,攻击+370,,,攻击,,370,,,,,,,,,,,,,,,,,,
10169,攻击+400,英雄天赋,攻击+400,,,攻击,,400,,,,,,,,,,,,,,,,,,
10170,攻击+550,英雄天赋,攻击+550,,,攻击,,550,,,,,,,,,,,,,,,,,,
10171,攻击+600,英雄天赋,攻击+600,,,攻击,,600,,,,,,,,,,,,,,,,,,
10172,攻击+800,英雄天赋,攻击+800,,,攻击,,800,,,,,,,,,,,,,,,,,,
10173,攻击+850,英雄天赋,攻击+850,,,攻击,,850,,,,,,,,,,,,,,,,,,
10174,物理防御+222,英雄天赋,物理防御+222,,,物理防御,,222,,,,,,,,,,,,,,,,,,
10175,物理防御+240,英雄天赋,物理防御+240,,,物理防御,,240,,,,,,,,,,,,,,,,,,
10176,物理防御+330,英雄天赋,物理防御+330,,,物理防御,,330,,,,,,,,,,,,,,,,,,
10177,物理防御+360,英雄天赋,物理防御+360,,,物理防御,,360,,,,,,,,,,,,,,,,,,
10178,物理防御+480,英雄天赋,物理防御+480,,,物理防御,,480,,,,,,,,,,,,,,,,,,
10179,物理防御+510,英雄天赋,物理防御+510,,,物理防御,,510,,,,,,,,,,,,,,,,,,
10180,法术防御+222,英雄天赋,法术防御+222,,,法术防御,,222,,,,,,,,,,,,,,,,,,
10181,法术防御+240,英雄天赋,法术防御+240,,,法术防御,,240,,,,,,,,,,,,,,,,,,
10182,法术防御+330,英雄天赋,法术防御+330,,,法术防御,,330,,,,,,,,,,,,,,,,,,
10183,法术防御+360,英雄天赋,法术防御+360,,,法术防御,,360,,,,,,,,,,,,,,,,,,
10184,法术防御+480,英雄天赋,法术防御+480,,,法术防御,,480,,,,,,,,,,,,,,,,,,
10185,法术防御+510,英雄天赋,法术防御+510,,,法术防御,,510,,,,,,,,,,,,,,,,,,
10186,速度+185,英雄天赋,速度+185,,,速度,,185,,,,,,,,,,,,,,,,,,
10187,速度+200,英雄天赋,速度+200,,,速度,,200,,,,,,,,,,,,,,,,,,
10188,速度+275,英雄天赋,速度+275,,,速度,,275,,,,,,,,,,,,,,,,,,
10189,速度+300,英雄天赋,速度+300,,,速度,,300,,,,,,,,,,,,,,,,,,
10190,速度+400,英雄天赋,速度+400,,,速度,,400,,,,,,,,,,,,,,,,,,
10191,速度+425,英雄天赋,速度+425,,,速度,,425,,,,,,,,,,,,,,,,,,
10192,血量+740,英雄天赋,血量+740,,,血量,,740,,,,,,,,,,,,,,,,,,
10193,血量+800,英雄天赋,血量+800,,,血量,,800,,,,,,,,,,,,,,,,,,
10194,血量+1100,英雄天赋,血量+1100,,,血量,,1100,,,,,,,,,,,,,,,,,,
10195,血量+1200,英雄天赋,血量+1200,,,血量,,1200,,,,,,,,,,,,,,,,,,
10196,血量+1600,英雄天赋,血量+1600,,,血量,,1600,,,,,,,,,,,,,,,,,,
10197,血量+1700,英雄天赋,血量+1700,,,血量,,1700,,,,,,,,,,,,,,,,,,
10198,伤害增加+2%,英雄天赋,伤害增加+2%,,,X3,200,,,,,,,,,,,,,,,,,,,
10199,伤害增加+3%,英雄天赋,伤害增加+3%,,,X3,300,,,,,,,,,,,,,,,,,,,
10200,伤害增加+4%,英雄天赋,伤害增加+4%,,,X3,400,,,,,,,,,,,,,,,,,,,
10201,伤害增加+5%,英雄天赋,伤害增加+5%,,,X3,500,,,,,,,,,,,,,,,,,,,
10202,物理免伤+2%,英雄天赋,物理免伤+2%,,,X4物理,200,,,,,,,,,,,,,,,,,,,
10203,物理免伤+3%,英雄天赋,物理免伤+3%,,,X4物理,300,,,,,,,,,,,,,,,,,,,
10204,物理免伤+4%,英雄天赋,物理免伤+4%,,,X4物理,400,,,,,,,,,,,,,,,,,,,
10205,物理免伤+5%,英雄天赋,物理免伤+5%,,,X4物理,500,,,,,,,,,,,,,,,,,,,
10206,法术免伤+2%,英雄天赋,法术免伤+2%,,,X4法术,200,,,,,,,,,,,,,,,,,,,
10207,法术免伤+3%,英雄天赋,法术免伤+3%,,,X4法术,300,,,,,,,,,,,,,,,,,,,
10208,法术免伤+4%,英雄天赋,法术免伤+4%,,,X4法术,400,,,,,,,,,,,,,,,,,,,
10209,法术免伤+5%,英雄天赋,法术免伤+5%,,,X4法术,500,,,,,,,,,,,,,,,,,,,
10210,物理免伤+8%,英雄天赋,物理免伤+8%,Icon/tianfushu_01,,X4物理,800,,,,,,,,,,,,,,,,,,,
10211,法术免伤+8%,英雄天赋,法术免伤+8%,Icon/tianfushu_01,,X4法术,800,,,,,,,,,,,,,,,,,,,
10212,物理免伤+6%,英雄天赋,物理免伤+6%,Icon/tianfushu_01,,X4物理,600,,,,,,,,,,,,,,,,,,,
10213,法术免伤+6%,英雄天赋,法术免伤+6%,Icon/tianfushu_01,,X4法术,600,,,,,,,,,,,,,,,,,,,
10214,命中+2%,英雄天赋,命中+2%,Icon/tianfushu_01,,命中,200,,,,,,,,,,,,,,,,,,,
10215,命中+8%,英雄天赋,命中+8%,Icon/tianfushu_01,,命中,800,,,,,,,,,,,,,,,,,,,
10216,穿透+8%,英雄天赋,穿透+8%,Icon/tianfushu_01,,穿透,800,,,,,,,,,,,,,,,,,,,
10217,韧性+8%,英雄天赋,韧性+8%,Icon/tianfushu_01,,韧性,800,,,,,,,,,,,,,,,,,,,
10218,格挡+10%,英雄天赋,格挡+10%,Icon/tianfushu_01,,格挡,1000,,,,,,,,,,,,,,,,,,,
10219,抵抗+6%,英雄天赋,抵抗+6%,Icon/tianfushu_01,,抵抗,600,,,,,,,,,,,,,,,,,,,
10220,暴击+6%,英雄天赋,暴击+6%,Icon/tianfushu_01,,暴击,600,,,,,,,,,,,,,,,,,,,
10221,格挡+6%,英雄天赋,格挡+6%,Icon/tianfushu_01,,格挡,600,,,,,,,,,,,,,,,,,,,
10222,穿透+12%,英雄天赋,穿透+12%,Icon/tianfushu_01,,穿透,1200,,,,,,,,,,,,,,,,,,,
10223,命中+4%,英雄天赋,命中+4%,Icon/tianfushu_01,,命中,400,,,,,,,,,,,,,,,,,,,
10224,抵抗+10%,英雄天赋,抵抗+10%,Icon/tianfushu_01,,抵抗,1000,,,,,,,,,,,,,,,,,,,
10225,闪避+3%,英雄天赋,闪避+3%,Icon/tianfushu_01,,闪避,300,,,,,,,,,,,,,,,,,,,
10226,韧性+12%,英雄天赋,韧性+12%,Icon/tianfushu_01,,韧性,1200,,,,,,,,,,,,,,,,,,,
10227,韧性+6%,英雄天赋,韧性+6%,Icon/tianfushu_01,,韧性,600,,,,,,,,,,,,,,,,,,,
10228,穿透+6%,英雄天赋,穿透+6%,Icon/tianfushu_01,,穿透,600,,,,,,,,,,,,,,,,,,,
10229,军团boss,英雄天赋,不会被添加任何debuff除：沉默、减怒，猎人印记,Icon/tianfushu_01,,,,,,,,,,,,ps_rejectBuff,"20002,20003,30006,30008,30029,30032,30010,30045,30011,30012,30034,30013,30046,30014,30015,30057,30017,30018,30033,30019,30042,30020,30047,30026,40024,30027,40001,40020,40002,40003,41001,10164,10165,40004,30048,10166,10167,41002,40006,40009,100221,100281,100671,400091,400231,20040,20041,101121,30035,30043,",拒绝的buff tid列表,,,,,,,,
10230,强袭光环敏捷加成,英雄天赋,提升我方所有英雄3%自身敏捷,Icon/tianfushu_01,,敏捷,300,,,,,,,,,ps_addAttr,"2,200,200,","敏捷点数,敏捷万分比,命中",,,,,,,,
10231,强袭光环命中加成,英雄天赋,命中+2%,Icon/tianfushu_01,,命中,200,,,,,,,,,,,,,,,,,,,
10232,强袭光环,英雄天赋,提升所有英雄3%敏捷和2%命中,Icon/tianfushu_01,,,,,,,,,,,,ps_AddBuffToTeam,"10230,10231,",,,,,,,,,
10233,野兽Ⅱ,英雄天赋,野兽的每次技能攻击均会为你恢复相当于伤害值15%的血量,Icon/yeshou_01,,,,,,,,,,,,ps_recoverOnUseSkill,"1500,",通过攻击力算出回血,10057,,,,,,,
10234,传染,英雄天赋,普通攻击和怒气技能有15%的几率使目标中毒,Icon/tianfushu_01,,,,,,,,,,,,ps_addBuffOnNormalAttack,"1500,30026,3,",,,,,,,,,
10235,野性,英雄天赋,血量+10%，韧性+5%，免疫破甲效果,Icon/yeshou_01,,,,,,,,,,,,ps_rejectBuff,"40004,30048,10166,10167,41002,",免疫buff id列表,,,,,,,,
10236,厚皮,英雄天赋,受到的物理伤害减少5%，受到的怒气技能伤害减少10%,Icon/tianfushu_01,,X4物理,500,,X20,1000,,,,,,,,,,,,,,,,
10237,鲜血Ⅱ,英雄天赋,攻击敌人和受到攻击时，分别会为除自己以外的所有英雄恢复伤害量3%血量和伤害量6%的血量,Icon/xianxue_01,,,,,,,,,,,,ps_recoverOnHurtAndBeHurt,"300,600,",攻击敌人恢复Hp万分比，被攻击恢复Hp万分比,10007,,,,,,,
10238,传染,英雄天赋,普通技能和怒气技能增加15%的中毒几率,Icon/tianfushu_01,,,,,,,,,,,,ps_addPoisonRate,"1500,102381",增加的中毒几率（如果原先没有中毒就是添加的中毒效果的触发几率），如果原先没有中毒效果就添加这个tid的中毒buff,,,,,,,,
10239,中boss,英雄天赋,不会被添加部分debuff（指挥官控制技能免疫）,Icon/tianfushu_01,,,,,,,,,,,,ps_rejectBuff,"30006,30008,30029,30032,30018,30033,30019,30042,40001,40020,40002,40009,100671,400091,20040,20041,101121,30006,40002,30035,30043",拒绝的buff tid列表,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,物防+90\n血量+300,英雄天赋,物防+90，血量+300,Icon/tianfushu_01,,物理防御,,90,血量,,300,,,,,,,,,,,,,,,
11002,法防+90\n血量+300,英雄天赋,法防+90，血量+300,Icon/tianfushu_01,,法术防御,,90,血量,,300,,,,,,,,,,,,,,,
11003,攻击+150\n血量+300,英雄天赋,攻击+150，血量+300,Icon/tianfushu_01,,攻击,,150,血量,,300,,,,,,,,,,,,,,,
11004,物防+108\n血量+360,英雄天赋,物防+108，血量+360,Icon/tianfushu_01,,物理防御,,108,血量,,360,,,,,,,,,,,,,,,
11005,法防+108\n血量+360,英雄天赋,法防+108，血量+360,Icon/tianfushu_01,,法术防御,,108,血量,,360,,,,,,,,,,,,,,,
11006,攻击+180\n血量+360,英雄天赋,攻击+180，血量+360,Icon/tianfushu_01,,攻击,,180,血量,,360,,,,,,,,,,,,,,,
11007,命中+1%\n穿透+1%\n速度+75,英雄天赋,命中+1%，穿透+1%，速度+75,Icon/tianfushu_01,,命中,100,,穿透,100,,速度,,75,,,,,,,,,,,,
11008,命中+1%\n暴击+1%\n速度+90,英雄天赋,命中+1%，暴击+1%，速度+90,Icon/tianfushu_01,,暴击,100,,命中,100,,速度,,90,,,,,,,,,,,,
11009,韧性+1%\n抵抗+1%\n速度+75,英雄天赋,韧性+1%，抵抗+1%，速度+75,Icon/tianfushu_01,,韧性,100,,抵抗,100,,速度,,75,,,,,,,,,,,,
11010,韧性+1%\n格挡+1%\n速度+75,英雄天赋,韧性+1%，格挡+1%，速度+75,Icon/tianfushu_01,,格挡,100,,韧性,100,,速度,,75,,,,,,,,,,,,
11011,韧性+1%\n格挡+1%\n速度+90,英雄天赋,韧性+1%，格挡+1%，速度+90,Icon/tianfushu_01,,韧性,100,,格挡,100,,速度,,90,,,,,,,,,,,,
11012,韧性+1%\n抵抗+1%\n速度+90,英雄天赋,韧性+1%，抵抗+1%，速度+90,Icon/tianfushu_01,,抵抗,100,,韧性,100,,速度,,90,,,,,,,,,,,,
11013,血量+1000,英雄天赋,血量+1000,Icon/tianfushu_01,,血量,,1000,,,,,,,,,,,,,,,,,,
#以下是npc的buff,,,,,,,,,,,,,,,,,,,,,,,,,,
20001,大回复,英雄天赋,回复,,,回复,2000,,,,,,,,,,,,,,,,,,,
20002,变形术眩晕,英雄天赋,群体变形术,,,,,,,,,,,,,ps_dizzy,"4,",回合数,,,,,,,,100
20003,变形术变形,英雄天赋,群体变形术,,,,,,,,,,,,,ps_transformModel,"4,4,0,","回合数,模型TID,scale增量(百)",,,,,,,,100
20004,命中+2闪避+2,英雄天赋,,,,命中,120,,闪避,100,,,,,,,,,,,,,,,,
20005,格挡+2抵抗+2,英雄天赋,,,,格挡,200,,抵抗,200,,,,,,,,,,,,,,,,
20006,暴击+2韧性+2,英雄天赋,,,,暴击,200,,韧性,200,,,,,,,,,,,,,,,,
20007,穿透+2暴伤+2,英雄天赋,,,,穿透,200,,暴伤,200,,,,,,,,,,,,,,,,
20008,命中+3闪避+3,英雄天赋,,,,命中,180,,闪避,150,,,,,,,,,,,,,,,,
20009,格挡+3抵抗+3,英雄天赋,,,,格挡,300,,抵抗,300,,,,,,,,,,,,,,,,
20010,暴击+3韧性+3,英雄天赋,,,,暴击,300,,韧性,300,,,,,,,,,,,,,,,,
20011,穿透+3暴伤+3,英雄天赋,,,,穿透,300,,暴伤,300,,,,,,,,,,,,,,,,
20012,命中+4闪避+4,英雄天赋,,,,命中,240,,闪避,200,,,,,,,,,,,,,,,,
20013,格挡+4抵抗+4,英雄天赋,,,,格挡,400,,抵抗,400,,,,,,,,,,,,,,,,
20014,暴击+4韧性+4,英雄天赋,,,,暴击,400,,韧性,400,,,,,,,,,,,,,,,,
20015,穿透+4暴伤+4,英雄天赋,,,,穿透,400,,暴伤,400,,,,,,,,,,,,,,,,
20016,命中+5闪避+5,英雄天赋,,,,命中,300,,闪避,250,,,,,,,,,,,,,,,,
20017,格挡+5抵抗+5,英雄天赋,,,,格挡,500,,抵抗,500,,,,,,,,,,,,,,,,
20018,暴击+5韧性+5,英雄天赋,,,,暴击,500,,韧性,500,,,,,,,,,,,,,,,,
20019,穿透+5暴伤+5,英雄天赋,,,,穿透,500,,暴伤,500,,,,,,,,,,,,,,,,
20020,命中+6闪避+6,英雄天赋,,,,命中,360,,闪避,300,,,,,,,,,,,,,,,,
20021,格挡+6抵抗+6,英雄天赋,,,,格挡,600,,抵抗,600,,,,,,,,,,,,,,,,
20022,暴击+6韧性+6,英雄天赋,,,,暴击,600,,韧性,600,,,,,,,,,,,,,,,,
20023,穿透+6暴伤+6,英雄天赋,,,,穿透,600,,暴伤,600,,,,,,,,,,,,,,,,
20024,命中+7闪避+7,英雄天赋,,,,命中,420,,闪避,350,,,,,,,,,,,,,,,,
20025,格挡+7抵抗+7,英雄天赋,,,,格挡,700,,抵抗,700,,,,,,,,,,,,,,,,
20026,暴击+7韧性+7,英雄天赋,,,,暴击,700,,韧性,700,,,,,,,,,,,,,,,,
20027,穿透+7暴伤+7,英雄天赋,,,,穿透,700,,暴伤,700,,,,,,,,,,,,,,,,
20028,命中+8闪避+8,英雄天赋,,,,命中,480,,闪避,400,,,,,,,,,,,,,,,,
20029,格挡+8抵抗+8,英雄天赋,,,,格挡,800,,抵抗,800,,,,,,,,,,,,,,,,
20030,暴击+8韧性+8,英雄天赋,,,,暴击,800,,韧性,800,,,,,,,,,,,,,,,,
20031,穿透+8暴伤+8,英雄天赋,,,,穿透,800,,暴伤,800,,,,,,,,,,,,,,,,
20032,命中+9闪避+9,英雄天赋,,,,命中,540,,闪避,450,,,,,,,,,,,,,,,,
20033,格挡+9抵抗+9,英雄天赋,,,,格挡,900,,抵抗,900,,,,,,,,,,,,,,,,
20034,暴击+9韧性+9,英雄天赋,,,,暴击,900,,韧性,900,,,,,,,,,,,,,,,,
20035,穿透+9暴伤+9,英雄天赋,,,,穿透,900,,暴伤,900,,,,,,,,,,,,,,,,
20036,命中+10闪避+10,英雄天赋,,,,命中,600,,闪避,500,,,,,,,,,,,,,,,,
20037,格挡+10抵抗+10,英雄天赋,,,,格挡,1000,,抵抗,1000,,,,,,,,,,,,,,,,
20038,暴击+10韧性+10,英雄天赋,,,,暴击,1000,,韧性,1000,,,,,,,,,,,,,,,,
20039,穿透+10暴伤+10,英雄天赋,,,,穿透,1000,,暴伤,1000,,,,,,,,,,,,,,,,
20040,小变形术眩晕,英雄天赋,群体变形术,,,,,,,,,,,,,ps_dizzy,"2,",回合数,,,,,,,,100
20041,小变形术变形,英雄天赋,群体变形术,,,,,,,,,,,,,ps_transformModel,"2,4,0,","回合数,模型TID,scale增量(百)",,,,,,,,100
20042,闪避+20%,英雄天赋,闪避+16%,Icon/tianfushu_01,,闪避,2000,,,,,,,,,,,,,,,,,,,
20043,格挡+30%,英雄天赋,格挡+16%,Icon/tianfushu_01,,格挡,3000,,,,,,,,,,,,,,,,,,,
20044,暴击+30%,英雄天赋,暴击+16%,Icon/tianfushu_01,,暴击,3000,,,,,,,,,,,,,,,,,,,
20045,抵抗+30%,英雄天赋,抵抗+16%,Icon/tianfushu_01,,抵抗,3000,,,,,,,,,,,,,,,,,,,
20046,穿透+30%,英雄天赋,穿透+5%,Icon/tianfushu_01,,穿透,3000,,,,,,,,,,,,,,,,,,,
20047,韧性+30%,英雄天赋,韧性+20%,Icon/tianfushu_01,,韧性,3000,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,
#以下是buff产生的buff,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,
100221,点燃附带的燃烧,英雄天赋,,,,,,,,,,,,,,ps_burn,"2,4000,",烧几次，伤害的万分比,,1012,1013,,,,,
100281,焚烧附带的燃烧,英雄天赋,,,,,,,,,,,,,,ps_burn,"2,2000,",烧几次，伤害的万分比,,1012,1013,,,,,
100671,猛击附带的眩晕,英雄天赋,,,,,,,,,,,,,,ps_dizzy,"2,",回合数,,1014,1015,,,,,20
400091,冰冻陷阱附带的冰冻,指挥官技能效果,,,,,,,,,,,,,,ps_frozen,"3,",回合数,,1022,1023,,,,,15
400161,风怒,指挥官技能效果,,Icon/tianfushu_01,,,,,,,,,,,,ps_windfury,"2000,",概率,,,,,,,,
101121,冰霜产生的冰冻,英雄天赋,冻结,,,,,,,,,,,,,ps_frozen,"2,",回合数,,1022,1023,,,,,
101122,冰霜的免疫,英雄天赋,,,,,,,,,,,,,,ps_rejectBuff,"400091,101121,30049",,,,,,,,,
400141,洞察审判,指挥官技能效果,,,,,,,,,,,,,,,"500,800,1000,1100,1200,1300",,,,,,,,,
400142,保护审判,指挥官技能效果,,,,,,,,,,,,,,,"4001421,4001422,4001423,4001424,4001425,4001426,4001427,4001428",,,,,,,,,
400143,复仇审判,指挥官技能效果,,,,,,,,,,,,,,,"4001431,4001432,4001433,4001434,4001435,4001436,4001437,4001438",,,,,,,,,
4001421,保护审判效果1,指挥官技能效果,,,,,,,,,,,,,,,"10000,0,0,0,0,0,100",头六个人数概率，最后一个恢复量,,,,,,,,
4001422,保护审判效果2,指挥官技能效果,,,,,,,,,,,,,,,"5000,5000,0,0,0,0,100",头六个概率，最后一个恢复量,,,,,,,,
4001423,保护审判效果3,指挥官技能效果,,,,,,,,,,,,,,,"1000,6000,3000,0,0,0,100",头六个概率，最后一个恢复量,,,,,,,,
4001424,保护审判效果4,指挥官技能效果,,,,,,,,,,,,,,,"0,5000,4000,1000,0,0,100",头六个概率，最后一个恢复量,,,,,,,,
4001425,保护审判效果5,指挥官技能效果,,,,,,,,,,,,,,,"0,4000,5000,1000,0,0,100",头六个概率，最后一个恢复量,,,,,,,,
4001426,保护审判效果6,指挥官技能效果,,,,,,,,,,,,,,,"0,2000,5000,2500,500,0,100",头六个概率，最后一个恢复量,,,,,,,,
4001427,保护审判效果7,指挥官技能效果,,,,,,,,,,,,,,,"0,1000,5000,3500,500,0,100",头六个概率，最后一个恢复量,,,,,,,,
4001428,保护审判效果8,指挥官技能效果,,,,,,,,,,,,,,,"0,500,5000,3500,500,500,100",头六个概率，最后一个恢复量,,,,,,,,
4001431,复仇审判效果1,指挥官技能效果,,,,,,,,,,,,,,,"10000,0,0,0,0,0,100671",头六个概率，最后一个眩晕bufftid,,,,,,,,
4001432,复仇审判效果2,指挥官技能效果,,,,,,,,,,,,,,,"5000,5000,0,0,0,0,100671",头六个概率，最后一个眩晕bufftid,,,,,,,,
4001433,复仇审判效果3,指挥官技能效果,,,,,,,,,,,,,,,"3000,6000,1000,0,0,0,100671",头六个概率，最后一个眩晕bufftid,,,,,,,,
4001434,复仇审判效果4,指挥官技能效果,,,,,,,,,,,,,,,"1500,7000,1500,0,0,0,100671",头六个概率，最后一个眩晕bufftid,,,,,,,,
4001435,复仇审判效果5,指挥官技能效果,,,,,,,,,,,,,,,"0,8000,2000,0,0,0,100671",头六个概率，最后一个眩晕bufftid,,,,,,,,
4001436,复仇审判效果6,指挥官技能效果,,,,,,,,,,,,,,,"0,8000,1000,1000,0,0,100671",头六个概率，最后一个眩晕bufftid,,,,,,,,
4001437,复仇审判效果7,指挥官技能效果,,,,,,,,,,,,,,,"0,7500,1300,1200,0,0,100671",头六个概率，最后一个眩晕bufftid,,,,,,,,
4001438,复仇审判效果8,指挥官技能效果,,,,,,,,,,,,,,,"0,6000,2600,1400,0,0,100671",头六个概率，最后一个眩晕bufftid,,,,,,,,
700101,亡灵大军,指挥官技能效果,复活,,,,,,,,,,,,,ps_transformModelAndData,"6,7500,11,1000011,0","模型TID,减掉数值万分比",,,,,,,,100
101551,附带的中毒,英雄天赋,普通攻击有几率对敌方造成中毒,,,,,,,,,,,,,ps_poison,"2,4000,",,,1010,1011,,,,,
102381,附带的中毒,英雄天赋,普通攻击有几率对敌方造成中毒,,,,,,,,,,,,,ps_poison,"2,4000,",,,1010,1011,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,
#以下是英雄技能效果,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,
30001,扣怒气50点,英雄技能效果,扣怒气50点,,,,,,,,,,,,,im_subMp,"50,",怒气值,,,,,,,,100
30002,纯净,英雄技能效果,释放普通技能时，100%驱散目标身上所有负面状态,,,,,,,,,,,,,im_removeDebuffs,"30010,30045,30011,30012,30034,30026,40024,30027,30013,30046,30014,30015,30057,400091,101121,30049",驱散的buff tid列表,,,,,,,,100
30003,治疗链,英雄技能效果,对我方血量最少的单位释放，并会再随机延展到其他的英雄身上，如果没有则不会延展，每次效果下降,,,,,,,,,,,,,im_oneSkillChain,"2,1008,","人数上限,技能tid",,,,,,,是,100
30004,秒杀,英雄技能效果,无条件秒杀,,,,,,,,,,,,,,,,,,,,,,,100
30005,提升自身一回合格挡,英雄技能效果,攻击后提升自己的格挡一回合,,,,,,,,,,,,,ps2_addOneHeroAp1ByRound,"1,18,1000,","回合数, AttrType, 增加几点",,,,,,,,100
30006,35%眩晕,英雄技能效果,35%几率眩晕,,,,,,,,,,,,,ps_dizzy,"2,",回合数,,1014,1015,,,,,35
30007,闪电链,英雄技能效果,对敌方释放，会在敌方阵营弹射产生伤害，每个英雄最多会被弹射到一次,,,,,,,,,,,,,im_oneSkillChain,"3,1019,","人数上限,技能tid",,,,,,,是,100
30008,20%眩晕,英雄技能效果,20%几率眩晕,,,,,,,,,,,,,ps_dizzy,"2,",回合数,,1014,1015,,,,,20
