Table:CsvGuide,,,,,,,,,,,,,,,,
tid,name:s,whenAdd:WhenAddGuide,whenAddParam:s,trigger:GuideTrigger,triggerParam:s,doWhat:GuideDoWhat,doWhatParam:s,presentation:GuidePresentation,delay:f,isShowMask:b,keepMask,finishCond:GuideFinishCond,finishCondParam:s,actionAfterAdd:s,actionBeforeDo:s,actionAfterDo:s
66001,试练_活动入口,,,界面显示时,MainCityUI,点按钮,MainCityUI/activitydoor,默认,0.3,1,1,,,,,
66002,试练,,,界面显示时,ActivityDoorUI,点按钮,ActivityDoorUI/abyss,默认,0.5,1,,,,,,
#,,,,,,,,,,,,,,,,
67000,铭文系统_说话,,67,界面显示时,MainCityUI,说话,1026,默认,0.3,,1,,,,,
67001,铭文系统_队伍,,,界面显示时,MainCityUI,点按钮,MainCityUI/team,默认,0.3,1,1,,,,,
67002,铭文系统_点击按钮,,,界面显示时,HeroInfoUI,点按钮,HeroInfoUI/epigraph,默认,0.5,1,,,,,,
#,,,,,,,,,,,,,,,,
69000,镜像挑战_说话,,69,界面显示时,MainCityUI,说话,1024,默认,0.3,,1,,,,,
69001,镜像挑战_活动入口,,,界面显示时,MainCityUI,点按钮,MainCityUI/activitydoor,默认,0.3,1,1,,,,,
69002,镜像挑战,,,界面显示时,ActivityDoorUI,点按钮,ActivityDoorUI/mirrorbattle,默认,0.5,1,,,,,,
#,,,,,,,,,,,,,,,,
